text,label,text_kz,label_name,pred_native_basic,pred_en_kz
"NCAA Wrong To Close Book On Williams Top-ranked and defending co-national champion USC opens its season tonight against Virginia Tech. Tampa #39;s Mike Williams, the best football player not in the NFL - now officially the best college football player ",1,"NCAA Уильямсқа қатысты істі жабуда қателесті Жоғары рейтингті және ұлттық чемпиондықты қорғаушы USC бүгін кешке Вирджиния Текке қарсы маусымын бастайды. Тампадан шыққан Майк Уильямс, NFL-де ойнамайтын ең үздік футболшы - енді ресми түрде ең үздік колледж футболшысы.",Sports,Sports,Sports
"General Mills goes whole grains NEW YORK (CNN/Money) - General Mills announced plans Thursday to start using healthier whole grains in all of its ready-to-eat cereals, including children #39;s cereals such as Trix, Cocoa Puffs and Lucky Charms.",2,"General Mills толық дәнді дақылдарға көшеді НЬЮ-ЙОРК (CNN/Money) - General Mills бейсенбі күні барлық дайын таңғы астарында, соның ішінде балаларға арналған Trix, Cocoa Puffs және Lucky Charms сияқты таңғы астарында денсаулыққа пайдалы толық дәнді дақылдарды қолдануды бастау жоспарын жариялады.",Business,Business,Business
"Big merger could box Qwest in Qwest Communications may not be immediately affected by a Sprint-Nextel merger, but its options could become more limited. At one time, Qwest and Sprint were viewed as possible merger partners.",2,"Үлкен бірігу Qwest-ті шектеуі мүмкін Qwest Communications компаниясына Sprint-Nextel бірігуі бірден әсер етпеуі мүмкін, бірақ оның мүмкіндіктері шектелуі мүмкін. Бір кездері Qwest пен Sprint ықтимал бірігу серіктестері ретінде қарастырылған еді.",Business,Business,Business
"Ukrainian opposition makes gains KIEV -- The Ukrainian parliament voted yesterday to dismiss the government headed by the declared winner of a disputed presidential vote, Prime Minister Viktor Yanukovych, handing the opposition a victory in its campaign to overturn national election results.",0,"Украина оппозициясы жетістіктерге жетті КИЕВ -- Украина парламенті кеше даулы президенттік сайлауда жеңімпаз деп жарияланған Премьер-министр Виктор Янукович басқаратын үкіметті қызметінен босату үшін дауыс берді, бұл оппозицияға ұлттық сайлау нәтижелерін өзгерту науқанында жеңіс әкелді.",World,World,World
United Apology over Website Abuse Manchester United have been forced to issue an embarrassing apology to Liverpool for an ill-advised attack on the Anfield outfit on its own website.,1,Манчестер Юнайтедтің веб-сайттағы қорлауы үшін кешірім сұрауы Манчестер Юнайтед өз веб-сайтында Энфилд командасына жасалған орынсыз шабуыл үшін Ливерпульден ұятты кешірім сұрауға мәжбүр болды.,Sports,Sports,Sports
Davis Cup: Australia takes 2-0 lead in World Group playoff :Lleyton Hewitt gave Australia a 2-0 lead in its Davis Cup World Group playoff today with a record-setting 6-0 6-2 6-2 win over Mehdi Tahiri of Morocco on grass at Royal Kings Park.,1,"Дэвис Кубогы: Австралия Әлемдік топ плей-оффында 2-0 есебімен алда келеді: Ллейтон Хьюитт бүгін Австралияға Дэвис Кубогы Әлемдік топ плей-оффында 2-0 есебімен алға шығуға көмектесті, ол Мароккодан келген Мехди Тахириді Royal Kings Park шөп алаңында 6-0 6-2 6-2 есебімен рекордтық жеңіске жетті.",Sports,Sports,Sports
Mortgage approvals drop sharply Figures showing falling mortgage approvals and rising repossessions suggest interest rate rises are being felt.  ,2,Ипотекалық несиелерді мақұлдау күрт төмендеді Ипотекалық несиелерді мақұлдаудың төмендеуі және мүлікті қайтарып алу жағдайларының көбеюі пайыздық мөлшерлемелердің өсуі сезіліп жатқанын көрсетеді.,Business,Business,Business
"GAME DAY RECAP Thursday, September 09 Bobby Madritsch pitched eight shutout innings and the Seattle Mariners ended a seven-game losing streak Thursday night with a 7-1 victory over Boston, dropping the Red Sox 3 games behind the first-place New York Yankees in the AL East.",1,"ОЙЫН КҮНІНІҢ ҚОРЫТЫНДЫСЫ Бейсенбі, 9 қыркүйек Бобби Мадритш сегіз иннинг бойы қарсыластарға ұпай бермей ойнап, Сиэтл Маринерс бейсенбі күні кешке Бостонды 7-1 есебімен жеңіп, жеті ойындық жеңіліс сериясын тоқтатты. Бұл жеңіс Бостон Ред Сокс командасын AL East дивизионында бірінші орындағы Нью-Йорк Янкизден 3 ойынға артта қалдырды.",Sports,Sports,Sports
"Clouds darken PeopleSoft conference SAN FRANCISCO -- PeopleSoft Inc. is trying to create a party-like atmosphere at its annual customer conference, but this week's gathering may feel more like a wake with rival Oracle Corp.'s \$7.7 billion takeover bid looming larger than ever.",2,"Бұлттар PeopleSoft конференциясын қараңғылатады

САН-ФРАНЦИСКО -- PeopleSoft Inc. өзінің жыл сайынғы клиенттер конференциясында мерекелік атмосфера құруға тырысуда, бірақ осы аптадағы жиналыс бәсекелес Oracle Corp.-тың 7,7 миллиард долларлық сатып алу ұсынысы бұрынғыдан да үлкен болып көрінгендіктен, көбірек аза тұту рәсіміне ұқсас болуы мүмкін.",Business,Business,Business
"Giants Give Up Right to Void Bonds' Deal (AP) AP - Barry Bonds will have two more seasons to break Hank Aaron's career home run record with the San Francisco Giants, who decided Tuesday to drop their right to void the final year of his contract.",1,"Алыптар Бондстың келісімін бұзу құқығынан бас тартты (AP) AP - Барри Бондс Сан-Франциско Джайантс командасымен Хэнк Ааронның мансаптық хоум-ран рекордын жаңартуға тағы екі маусым алады, сейсенбі күні олар оның келісімшартының соңғы жылын бұзу құқығынан бас тартуға шешім қабылдады.",Sports,Sports,Sports
"Linux groups patch image flaw com December 8, 2004, 2:48 PM PT. Several flaws in common Linux code used to process graphics in the GNOME desktop environment could allow an attacker to compromise a computer that ",3,"Linux топтары кескін ақауын түзетеді, 2004 жылғы 8 желтоқсан, 14:48 PT. GNOME жұмыс үстелі ортасында графиканы өңдеу үшін қолданылатын жалпы Linux кодындағы бірнеше ақаулар шабуылдаушыға компьютерді бұзуға мүмкіндік беруі мүмкін.",Sci/Tech,Sci/Tech,Sci/Tech
This year #39;s Panthers could learn a thing or two from Michael Vick CHARLOTTE - Michael Vick head-butting an opposing linebacker may not have been the smartest thing for a National Football League quarterback to do.,1,Биылғы Пантерлер Майкл Виктен бір-екі нәрсе үйрене алады. ШАРЛОТТЕ - Майкл Виктің қарсылас команданың қорғаушысымен баспен соқтығысуы Ұлттық футбол лигасының қорғаушысы үшін ең ақылды әрекет болмауы мүмкін.,Sports,Sports,Sports
"Japanese Prime Minister Inspects Four Northern Islands under &lt;b&gt;...&lt;/b&gt; On September 2, Japanese Prime Minister Junichiro Koizumi (right) inspects four northern islands that are under territorial dispute with Russia.",0,Жапония Премьер-министрі Төрт Солтүстік Аралды тексерді ... 2 қыркүйекте Жапония Премьер-министрі Дзюнъитиро Коидзуми (оң жақта) Ресеймен аумақтық дау-дамайда тұрған төрт солтүстік аралды тексерді.,World,World,World
Palestinians kill three Israeli soldiers Palestinian fighters sneaked onto an Israeli military post at a small Jewish settlement in the Gaza Strip early yesterday under cover of darkness and a thick morning fog ,0,Палестиналықтар үш израильдік сарбазды өлтірді Палестиналық жауынгерлер кеше таңертең қараңғылық пен қалың таңғы тұманның астында Газа секторындағы шағын еврей қонысындағы израильдік әскери постқа жасырын кірді.,World,World,World
Premiership: Charlton snatch win Dennis Rommedahl grabbed an injury-time winner for Charlton against a Crystal Palace side who will be very upset at a missed penalty.,1,"Премьер-лига: Чарльтон жеңісті жұлып алды Деннис Роммедаль жарақат уақытында Чарльтон үшін жеңіс голын соқты, ал Кристал Пэлас командасы жіберіп алған пенальти үшін қатты ренжитін болады.",Sports,Sports,Sports
"Baseball-Red Sox on Brink of World Series Victory  ST. LOUIS (Reuters) - Pedro Martinez pitched seven shutout  innings and Manny Ramirez hit a home run as the Boston Red Sox  beat the St. Louis Cardinals 4-1 Tuesday, moving to the brink  of their first World Series title since 1918.",1,"Бейсбол - Ред Сокс Әлемдік серия жеңісіне жақын  СЕНТ-ЛУИС (Рейтер) - Педро Мартинес жеті иннинг бойы қарсыластарға ұпай бермей ойнап, Мэнни Рамирес хоум-ран соққандықтан, Бостон Ред Сокс Сент-Луис Кардиналс командасын сейсенбі күні 4-1 есебімен жеңіп, 1918 жылдан бері алғашқы Әлемдік серия атағына жақындады.",Sports,Sports,Sports
"Prince Charles chastised for  quot;old fashioned quot; views A minister has launched a scathing attack on heir to the throne Prince Charles, accusing him of being  quot;very old fashioned quot; and out of touch in his views on teaching in schools.",0,"Чарльз ханзадасы «ескі көзқарастары» үшін сынға ұшырады Министр тақ мұрагері Чарльз ханзадасына қатты шабуыл жасап, оны мектептерде оқыту туралы көзқарастары бойынша «өте ескі көзқараста» және заманнан артта қалған деп айыптады.",World,World,World
"Old bones unearth new date for giant deer #39;s last stand A new investigation into extinctions caused by climate change has revealed that the giant deer, previously thought to have been wiped out by a cold spell 10,500 years ago, instead survived well into the modern era.",3,"Ескі сүйектер алып бұғының соңғы тұруының жаңа күнін ашты Климаттың өзгеруімен байланысты жойылуларды зерттеудің жаңа нәтижелері алып бұғының 10,500 жыл бұрынғы суық кезеңде жойылып кеткен деп есептелгеніне қарамастан, қазіргі заманға дейін жақсы өмір сүргенін көрсетті.",Sci/Tech,Sci/Tech,Sci/Tech
"Different time, different team With 3:25 left in the third quarter, the score was 33-0, and the 79,406 fans at Doak Campbell Stadium in Tallahassee, Fla., had long since stopped worrying about the outcome.",1,"Әртүрлі уақыт, әртүрлі команда Үшінші ширектің аяқталуына 3:25 қалған кезде, есеп 33-0 болды, және Флорида штатының Таллахасси қаласындағы Доак Кэмпбелл стадионында жиналған 79,406 жанкүйер ойын нәтижесі туралы алаңдауды әлдеқашан тоқтатқан еді.",Sports,Sports,Sports
"Oracle Quarterly Net Income Rises 16 Pct Oracle Corp. (ORCL.O: Quote, Profile, Research) on Tuesday reported a 16 percent rise in quarterly net income as the world #39;s second largest software company benefited ",2,"Oracle компаниясының тоқсандық таза табысы 16 пайызға өсті Oracle Corp. (ORCL.O: Quote, Profile, Research) сейсенбі күні әлемдегі екінші ірі бағдарламалық қамтамасыз ету компаниясы ретінде тоқсандық таза табысының 16 пайызға өскенін хабарлады.",Business,Business,Business
"Tributes flood in for Nicholson Former Tottenham captain Dave Mackay has led the tributes to legendary former Spurs manager Bill Nicholson, who passed away on Saturday aged 85.",1,"Николсонға құрмет көрсетілуде Бұрынғы ""Тоттенхэм"" капитаны Дэйв Маккей сенбі күні 85 жасында қайтыс болған ""Тоттенхэм"" клубының аңызға айналған бұрынғы менеджері Билл Николсонға құрмет көрсетуді бастады.",Sports,Sports,Sports
EU chief battles to avert veto in crunch vote (AFP) AFP - The European Union braced for a knife-edge vote to decide the fate of its new executive arm with incoming EU chief Jose Manuel Barroso hardening his stance against rebel legislators.,0,"ЕО басшысы шешуші дауыс беруде ветоға жол бермеуге тырысады (AFP) AFP - Еуропалық Одақ өзінің жаңа атқарушы органының тағдырын шешетін тартысты дауыс беруге дайындалды, ал келесі ЕО басшысы Жозе Мануэль Баррозо бүлікші заң шығарушыларға қарсы ұстанымын күшейтті.",World,World,World
"Gateway Updates 4Q, Year Guidance Gateway Inc. on Wednesday raised fourth-quarter earnings expectations as the personal computer maker freed up cash by selling preferred stock and outsourcing its warranty service plans.",2,"Gateway жаңартулары 4-тоқсан, жылдық нұсқаулық Gateway Inc. сәрсенбі күні төртінші тоқсандағы табыс болжамдарын көтерді, себебі жеке компьютер өндірушісі артықшылықты акцияларды сату және кепілдік қызмет жоспарларын аутсорсинг арқылы қолма-қол ақшаны босатты.",Business,Business,Business
"Computer Associates exec pleads not guilty Sanjay Kumar, the former chief executive of Computer Associates of Islandia, NY, pleaded innocent Thursday to charges he helped inflate financial results.",2,"Компьютер Ассошиэйтс басшысы кінәсіз екенін мәлімдеді

Нью-Йорк штатының Айлендия қаласындағы Компьютер Ассошиэйтс компаниясының бұрынғы бас директоры Санджай Кумар бейсенбі күні қаржылық нәтижелерді жасанды түрде жоғарылатуға көмектесті деген айыптауларға кінәсіз екенін мәлімдеді.",Business,Business,Business
Sales boost for House of Fraser Shares in UK department store group House of Fraser have risen after the firm said it had cut half-year losses and was seeing solid sales growth.,2,"Ұлыбританияның House of Fraser әмбебап дүкендер тобының акциялары сатылымның өсуіне байланысты көтерілді, өйткені компания жарты жылдық шығындарды азайтып, сатылымның тұрақты өсуін байқап отырғанын мәлімдеді.",Business,Business,Business
"Selling Houston Warts and All, Especially Warts Descriptions of urban afflictions and images of giant mosquitoes and cockroaches to convey a sense of how Houston is nevertheless beloved by many residents.",2,"Хьюстонды барлық кемшіліктерімен сату, әсіресе кемшіліктері Хьюстонның көптеген тұрғындары үшін әлі де сүйікті екенін жеткізу үшін қалалық қиындықтардың сипаттамалары мен үлкен масалар мен тарақандардың суреттері.",Business,World,World
Fannie Mae mess worries investors The fallout from allegations of serious accounting problems at Fannie Mae has rattled investors and could even bump up mortgage rates down the road.,2,Fannie Mae-дегі мәселелер инвесторларды алаңдатады Fannie Mae-де есепке алу мәселелері бойынша ауыр айыптаулардың салдары инвесторларды дүрліктірді және болашақта ипотекалық мөлшерлемелердің көтерілуіне әкелуі мүмкін.,Business,Business,Business
Strongwoman hoists 100th gold for Chinese delegation Tang Gonghong lifted a world record to claim in Athens the 100th Olympic gold for China since its participation in 1984 Olympic Games on Saturday when ,1,"Ауыр атлетика шебері Қытай делегациясы үшін 100-ші алтынды жеңіп алды. Танг Гунхун Афинада әлемдік рекорд орнатып, 1984 жылғы Олимпиада ойындарына қатысқаннан бері Қытай үшін 100-ші Олимпиада алтынын сенбі күні жеңіп алды.",Sports,Sports,Sports
"Microsoft Japan to give away over one million XP SP2 CDs TOKYO -- Microsoft Corp.'s Japanese arm will begin giving away more than a million CD-ROMs of the company's latest security update, Windows XP Service Pack 2 (SP2) from 27,500 locations during September and October, the company said on Thursday.",3,"Microsoft Жапония бір миллионнан астам XP SP2 CD-дискілерін тегін таратады ТОКИО -- Microsoft корпорациясының Жапониядағы бөлімшесі қыркүйек және қазан айларында 27,500 орыннан компанияның соңғы қауіпсіздік жаңартуы, Windows XP Service Pack 2 (SP2) CD-ROM-дарын бір миллионнан астам тегін тарата бастайды, деп хабарлады компания бейсенбі күні.",Sci/Tech,Sci/Tech,Sci/Tech
"Sharon cautious on reopening talks The Israeli prime minister, Ariel Sharon, yesterday said the death of his long-time rival, Yasser Arafat, could prove to be  quot;a historic turning point in the Middle East quot;.",0,"Шарон келіссөздерді қайта бастауға сақтықпен қарайды Израиль премьер-министрі Ариэль Шарон кеше өзінің ұзақ уақыт бойы қарсыласы болған Ясир Арафаттың өлімі Таяу Шығыстағы ""тарихи бетбұрыс"" болуы мүмкін екенін айтты.",World,World,World
Thais  #39;bomb #39; south with paper birds on Muslim south Around 50 Thai Air Force planes  quot;bombed quot; the largely Muslim south with paper birds on Sunday as a symbol of peace for the restive region where nearly 500 people have been killed since January.,0,"Тайлықтар мұсылман оңтүстігін қағаз құстармен ""бомбалады"" Жексенбі күні шамамен 50 Тай әуе күштерінің ұшақтары қаңтар айынан бері 500-ге жуық адам қаза тапқан тынышсыз аймаққа бейбітшілік символы ретінде мұсылман оңтүстігін қағаз құстармен ""бомбалады"".",World,World,World
"Deacons Defeat Friars Justin Gray leads Wake Forest with 21 points despite suffering a gashed face as the top-ranked Demon Deacons beat Providence, 79-67.",1,"Дьякондар Фрайарларды жеңді Джастин Грей жарақат алған бетіне қарамастан 21 ұпаймен Уэйк Форестті алға шығарды, бірінші орындағы Демон Дьякондар Провиденсті 79-67 есебімен жеңді.",Sports,Sports,Sports
"Screensaver Strikes Back at Spammers New software allows recipients of spam to band together to target known websites behind the messages. The idea is to bombard the sites with messages, slowing them down and making them more expensive to run.",3,"Экран сақтаушысы спам жіберушілерге қарсы шабуыл жасайды

Жаңа бағдарламалық қамтамасыз ету спам алушыларға хабарламалардың артындағы белгілі веб-сайттарды нысанаға алу үшін бірігуге мүмкіндік береді. Идея - сайттарды хабарламалармен толтырып, олардың жұмысын баяулатып, оларды жүргізуді қымбаттату.",Sci/Tech,Sci/Tech,Sci/Tech
"Ramirez should be taking it to heart When it comes down to this, when it's worse than you could have possibly imagined, if you are any kind of ballplayer at all, you look within and ask yourself what you can do to make it better.",1,"Рамирес бұл жағдайды жүрегіне жақын қабылдауы керек. Бұл жағдай осылай болғанда, сіз ойлағаннан да нашар болғанда, егер сіз қандай да бір дәрежеде ойыншы болсаңыз, ішіңізге үңіліп, оны жақсарту үшін не істей алатыныңызды өзіңізден сұрайсыз.",Sports,Sports,Sports
"Some People Not Eligible to Get in on Google IPO Google has billed its IPO as a way for everyday people to get in on the process, denying Wall Street the usual stranglehold it's had on IPOs. Public bidding, a minimum of just five shares, an open process with 28 underwriters - all this pointed to a new level of public participation. But this isn't the case.",3,"Кейбір адамдар Google IPO-сына қатысуға құқылы емес Google өзінің IPO-сын қарапайым адамдардың процеске қатысуының жолы ретінде жарнамалады, Уолл-стритке IPO-ларға әдеттегі бақылауды бермей. Қоғамдық сауда, тек бес акцияның минимумы, 28 андеррайтермен ашық процесс - мұның бәрі қоғамдық қатысудың жаңа деңгейіне нұсқады. Бірақ бұл олай емес.",Sci/Tech,Business,Business
"One assist, goal for hometown star STOCKHOLM, Sweden -- First, Peter Forsberg watched as his retired jersey No. 21 was lowered from the rafters at Kempehallen. Then, after getting a standing ovation from the sold-out crowd, the locked-out Colorado ",1,"Бір пас, туған қаланың жұлдызы үшін гол

СТОКГОЛЬМ, Швеция -- Алдымен, Питер Форсберг өзінің зейнетке шыққан №21 жейдесінің Кемпехалленнің төбесінен төмен түсірілгенін көрді. Содан кейін, толығымен сатылған көрермендерден ұзақ қол шапалақтау алғаннан кейін, Колорадоның құлыптаулы...",Sports,Sports,Sports
"Crunch Time for Biotech Companies Washington area biotech companies will face pivotal moments this year, finding out whether key products work before money dries up, fending off competition from bigger companies,  and, perhaps filing to go public.",2,"Биотехнологиялық компаниялар үшін шешуші уақыт

Вашингтон аймағындағы биотехнологиялық компаниялар биыл шешуші сәттерге тап болады, негізгі өнімдердің жұмыс істейтінін анықтап, қаржы таусылғанға дейін, ірі компаниялардан бәсекелестікті тойтарып, мүмкін, көпшілікке шығуға өтініш берумен айналысады.",Business,Business,Business
"Report: Amount of fine-particle pollution drops significantly LOS ANGELES - Concentrations of one of the most dangerous air pollutants have declined in most of the country in the last five years, especially in Southern California and the Southeast, according to a report released by the US Environmental Protection ",3,"Есеп: Ұсақ бөлшектерден тұратын ластану мөлшері айтарлықтай төмендеді ЛОС-АНДЖЕЛЕС - Соңғы бес жылда елдің көп бөлігінде, әсіресе Оңтүстік Калифорния мен Оңтүстік-Шығыста, ең қауіпті ауа ластағыштарының бірі болып табылатын заттардың концентрациясы төмендегені туралы АҚШ Қоршаған ортаны қорғау агенттігі жариялаған есепке сәйкес.",Sci/Tech,Sci/Tech,Sci/Tech
"Maker of Twinkies goes into bankruptcy Onge. Interstate Bakeries Corp. has filed for bankruptcy, a casualty of rising costs and reduced demand for carbohydrate-rich breads and pastries, including its Wonder Bread and Hostess Twinkies.",2,Twinkies өндірушісі банкроттыққа ұшырады. Interstate Bakeries Corp. Wonder Bread және Hostess Twinkies сияқты көмірсуға бай нан мен кондитерлік өнімдерге сұраныстың төмендеуі және шығындардың өсуі салдарынан банкроттыққа арыз берді.,Business,Business,Business
"Court Won't Halt Arch Coal's Triton Bid (Reuters) Reuters - A U.S. appeals court ruled on Friday\that Arch Coal Inc. (ACI.N) may proceed with its bid to buy the\assets of rival Triton Coal Co. LLC, denying an emergency\request by the Federal Trade Commission to block the deal, a\spokesman for the agency said.",2,"Сот Arch Coal-дың Triton-ды сатып алу ұсынысын тоқтатпайды (Reuters) Reuters - АҚШ апелляциялық соты жұма күні Arch Coal Inc. (ACI.N) компаниясына бәсекелес Triton Coal Co. LLC активтерін сатып алу ұсынысымен жалғастыруға рұқсат берді, Федералдық сауда комиссиясының мәмілені тоқтату туралы шұғыл өтінішін қабылдамай, агенттік өкілі мәлімдеді.",Business,Business,Business
"Pakistan Ups Security, Shi #39;ites Mourn Bomb Victims Pakistan beefed up security Saturday as minority Shi #39;ite Muslims prepared to bury victims of a suicide bomb attack on a mosque in the eastern town of Sialkot that killed at least 30 people a day earlier.",0,"Пәкістан қауіпсіздікті күшейтті, шииттер бомба құрбандарын жоқтауда Пәкістан сенбі күні қауіпсіздікті күшейтті, өйткені азшылық шиит мұсылмандары шығыс Сиалкот қаласындағы мешітте болған жанкештілік бомба шабуылынан қаза тапқан құрбандарды жерлеуге дайындалды, бұл шабуыл бір күн бұрын кем дегенде 30 адамның өмірін қиды.",World,World,World
"Callender wins job as starter Frustration set in quickly for Andre Callender. He had already waited a whole year, and now he had to wait another game to play college football.",1,"Календер негізгі құрамда ойнау құқығын жеңіп алды Андре Календер үшін тез арада көңілсіздік пайда болды. Ол бір жыл бойы күткен еді, енді ол колледж футболын ойнау үшін тағы бір ойын күтуі керек болды.",Sports,Sports,Sports
SA 'mercenaries' plead not guilty Sixty-six men accused of plotting a coup in Equatorial Guinea deny breaching Zimbabwe's security laws.,0,"66 ер адам Экваторлық Гвинеяда төңкеріс ұйымдастырды деп айыпталып, Зимбабвенің қауіпсіздік заңдарын бұзбағандарын мәлімдеді.",World,World,World
Rejuvenated Real out to start scoring goals It has not gone unnoticed in Spain that the four goals Real Madrid put past Roma in the Champions League on Tuesday equalled their tally in five league matches after one of their worst starts to a domestic campaign for many years.,1,"Жаңарған ""Реал"" гол соғуды бастауға дайын Испанияда ""Реал Мадридтің"" сейсенбі күні Чемпиондар Лигасында ""Ромаға"" соққан төрт голы олардың бірнеше жылдардағы ең нашар ішкі маусым бастамасынан кейінгі бес лига матчындағы жалпы гол санымен теңескені назардан тыс қалмады.",Sports,Sports,Sports
Blair: Time for Excuses on Africa Is Over (Reuters) Reuters - British Prime Minister\Tony Blair is to say Thursday that the time for excuses on\Africa is over as he chairs a meeting in Ethiopia he hopes will\turn the continent's problems into a global priority.,0,"Блэр: Африкаға қатысты сылтаулар уақыты аяқталды (Reuters) Reuters - Британ премьер-министрі Тони Блэр бейсенбі күні Африкаға қатысты сылтаулар уақыты аяқталғанын айтуы тиіс, өйткені ол Эфиопияда өтетін жиналысты басқарады, ол осы құрлықтың мәселелерін жаһандық басымдыққа айналдыруды үміттенеді.",World,World,World
IBM launches top-end Power5 servers IBM has expanded the top end of its eServer range with three multiple-processor systems aimed at datacentres and large enterprise clients.,3,IBM дербес Power5 серверлерін іске қосты IBM өзінің eServer ауқымының жоғарғы бөлігін деректер орталықтары мен ірі кәсіпорын клиенттеріне арналған үш көп процессорлы жүйемен кеңейтті.,Sci/Tech,Sci/Tech,Sci/Tech
