id,question,options,answer_key,question_kz,options_kz,pred_native_kz,pred_en_kz
67ffcb4c3f2c6a1155e356f8a15ed250,"They were making sauerkraut, the instructor explained the liquid should be above the cabbage in the what?","A) jar
B) drinking glass
C) pot
D) container
E) can",A,"Олар қырыққабат тұздаған кезде, нұсқаушы сұйықтық қырыққабаттың үстінде болуы керек екенін түсіндірді, қайда?","A) банка
B) стақан
C) қазан
D) контейнер
E) консерві банкасы",D,D
5cac4da628f0a58db980649079bd5784,John farms anemone in what type of facility?,"A) michigan
B) swimming pool
C) atlantic ocean
D) nursery
E) gulf of mexico",D,Джон анемонды қандай нысанда өсіреді?,"A) мичиган
B) жүзу бассейні
C) атлант мұхиты
D) питомник
E) мексика шығанағы",D,D
7776b10c7bb96f3fe5e026678673634d,What do people want to acquire from opening business?,"A) home
B) wealth
C) bankruptcy
D) lose money
E) get rich",B,Адамдар бизнес ашудан не алғысы келеді?,"A) үй
B) байлық
C) банкроттық
D) ақшаны жоғалту
E) бай болу",B,B
275c859994f7d3acd3c8863be591ab2c,When you need to rest it's often because you have been doing what?,"A) action
B) sleep
C) sleeping
D) in motion
E) using energy",E,"Демалу қажет болғанда, сіз көбінесе не істеп жүргеніңізден болады?","A) әрекет
B) ұйқы
C) ұйықтау
D) қозғалыста болу
E) энергияны пайдалану",E,E
9bac07574c966cae34c85e9f25538cba,"John didn't mind getting in line.  It was what game after that he hated.  The time, the sore feet. He did not like doing what?","A) have to wait for
B) standing in line
C) eat cake
D) less confusion
E) being ordered",B,"Джон кезекке тұруға қарсы болмады. Ол содан кейін қандай ойынды жек көрді. Уақыт, аяқтың ауыруы. Ол не істеуді ұнатпады?","A) күтуге тура келу
B) кезекте тұру
C) торт жеу
D) аз шатасу
E) бұйрық алу",A,A
f0d473701d52125dd055d23042de1b0d,"The dog curled up for a nap, it was tuckered out because it had just been what?","A) walked
B) petted
C) affection
D) go outside
E) scratch",A,"Ит ұйықтап қалды, ол шаршағандықтан, ол жаңа ғана не істеді?","A) серуендеу
B) сипау
C) мейірім
D) далаға шығу
E) қасу",A,A
c3b7f4196b12714940ac1b9417194df4,Where is a statute found on a platform?,"A) below
B) arena
C) concert hall
D) museum
E) building",D,Ескерткіш қай жерде платформада орналасқан?,"A) төменде
B) арена
C) концерт залы
D) мұражай
E) ғимарат",E,E
418913999c665ae9527fd14a6132da39,What will likely happen after stabbing to death a person?,"A) gruesome
B) being arrested
C) pool of blood
D) mess
E) grisly",B,Адамды пышақтап өлтіргеннен кейін не болуы мүмкін?,"A) сұмдық
B) қамауға алу
C) қанның көлшігі
D) былық
E) қорқынышты",B,B
3d79c10ddf26a5ed7dc0bb168fb0b3ed,"The man didn't do great in college, all his best memories were late night with his brothers at the what?","A) big city
B) fraternity house
C) school
D) building
E) big town",B,"Ер адам колледжде жақсы оқымады, оның барлық ең жақсы естеліктері ағаларымен түнде қайда болған?","A) үлкен қала
B) бауырластық үйі
C) мектеп
D) ғимарат
E) үлкен қала",B,B
70af2b5df22ec96901350dfa3c9ee74f,James was meeting a friend.  They had planed a slow day. They didn't want to do much.  They just wanted what?,"A) relaxation
B) panic
C) alarm
D) joy
E) cheer",A,Джеймс досымен кездесіп жатты. Олар баяу күнді жоспарлаған еді. Олар көп нәрсе жасағысы келмеді. Олар тек нені қалады?,"A) демалу
B) үрей
C) дабыл
D) қуаныш
E) шаттық",A,A
37644422df4bcd28b3f54bbf3fc2c0f8,"They had to know where to go, they got on the national highway after consulting the what?","A) canada
B) atlas
C) united states
D) major cities
E) book",B,"Олар қайда бару керектігін білуі керек еді, олар неге кеңескеннен кейін ұлттық тас жолға шықты?","A) канада
B) атлас
C) америка құрама штаттары
D) ірі қалалар
E) кітап",B,B
84a761f516efce04ab27d7ca8dd25255,Traveling from new place to new place is likely to be what?,"A) going somewhere
B) exhilarating
C) diarrhea
D) relocation
E) exhausting",B,Жаңа жерден жаңа жерге саяхаттау қандай болуы мүмкін?,"A) бір жаққа бару
B) қуанышты
C) диарея
D) көшу
E) шаршататын",B,E
0bf4d64ad0eee7224acb3a4eb85accb2,What happens when to ice when it is in the sun?,"A) carved
B) melted
C) ice cream
D) antarctica
E) sculptured",B,Мұз күннің астында болғанда не болады?,"A) ойылған
B) еріген
C) балмұздақ
D) антарктика
E) мүсінделген",B,B
e34a0d1331c6bd4574ffe308e3fbd389,"When a person admits his mistakes, what are they doing?","A) accident
B) learn to swim
C) thank god
D) feel relieved
E) act responsibly",E,"Адам өз қателіктерін мойындағанда, олар не істейді?","A) кездейсоқтық
B) жүзуді үйрену
C) құдайға шүкір айту
D) жеңілдеу сезіну
E) жауапкершілікпен әрекет ету",E,E
35ad89c198d5d6311a71c993bb7b6cba,Spraining an ankle while playing baseball will cause what?,"A) strikes
B) eating
C) injury
D) sore muscles
E) pain",E,Бейсбол ойнап жүргенде тобықты шығарып алу неге әкеледі?,"A) соққылар
B) тамақтану
C) жарақат
D) бұлшықеттердің ауыруы
E) ауырсыну",C,C
b7091d2bfcea421d787ce9e7982f104a,In a horror movie victims usually trip when the run in order to do what in regards to the killer?,"A) frightened
B) run up stairs
C) get away from
D) go quickly
E) go faster",C,"Қорқынышты фильмде құрбандар әдетте жүгірген кезде сүрінеді, бұл өлтірушіге қатысты не істеу үшін?","A) қорқады
B) баспалдақпен жоғары көтеріледі
C) қашып кетеді
D) тез жүреді
E) жылдам жүреді",E,D
e56c56c3cfe50ba0c787c2bd67255be8,"She asked her little boy why, he replied that he didn't know and it was just what?","A) case
B) reason
C) how
D) because
E) answer",D,"Ол кішкентай ұлынан неге екенін сұрады, ол жауап берді, ол білмейтінін және бұл жай ғана не екенін айтты?","A) жағдай
B) себеп
C) қалай
D) өйткені
E) жауап",B,B
34b2d6aecdb5af8efacf0b0aa7e3989f,Where does one store fabric in their own home?,"A) sewing room
B) clothing store
C) tailor shop
D) clothes store
E) cotton mill",A,Адам өз үйінде матаны қайда сақтайды?,"A) тігін бөлмесі
B) киім дүкені
C) тігін шеберханасы
D) киім дүкені
E) мақта фабрикасы",A,A
01794dde3ca2991615f1aa2f63fb22e3,"As he looked out the window, he knew the landing was happening soon, and it made him nervous, but where would he be soon?","A) apartment building
B) disembark
C) stairwell
D) deplane
E) airport",E,"Терезеден қараған кезде, қону жақындап келе жатқанын білді, бұл оны қобалжытты, бірақ ол жақында қайда болады?","A) пәтер ғимараты
B) түсіру
C) баспалдақ
D) ұшақтан түсу
E) әуежай",E,E
fde1f9bfc33da302449c0b950d16c0ea,Most people make stupid assumptions that are based on their prejudices.  What might they do instead to achieve better outcomes?,"A) set table
B) think
C) read books
D) play games
E) lie",B,Көптеген адамдар өздерінің алдын ала ой-пікірлеріне негізделген ақымақ болжамдар жасайды. Жақсы нәтижелерге жету үшін олар не істеуі мүмкін?,"A) үстелді дайындау
B) ойлану
C) кітап оқу
D) ойын ойнау
E) өтірік айту",B,B
a7d51b753c2113d8b2dbd0ebb5375855,James's nice asked him about her grandfather. She was interested in learning about what?,"A) family tree
B) family reunion
C) babysitting
D) brother's house
E) heirlooms",A,Джеймстің жиені одан атасы туралы сұрады. Ол не туралы білгісі келді?,"A) отбасы шежіресі
B) отбасы жиналысы
C) бала қарау
D) ағасының үйі
E) мұралар",A,A
c770870c88f35f9d110217049c5a7334,"She was in an affair, what did that end upon discovery by her husband?","A) relationship
B) marriage
C) fidelity
D) love
E) divorce",B,"Ол қарым-қатынаста болды, күйеуі білгеннен кейін не аяқталды?","A) қарым-қатынас
B) неке
C) адалдық
D) махаббат
E) ажырасу",A,B
597d2a1c9df7962218d8b807df1f8212,What blocks sunshine?,"A) summer
B) park
C) desktop
D) sea
E) moon",E,Күн сәулесін не бөгейді?,"A) жаз
B) саябақ
C) жұмыс үстелі
D) теңіз
E) ай",E,E
467a3b464b08b3ffc9922e2a726554f6,"The family wanted to adopt for enviro-ethical reasons, what did they abhor?","A) orphan
B) biological child
C) give away
D) foster child
E) abandon",B,"Отбасы экологиялық-этикалық себептермен асырап алғысы келді, олар нені жек көрді?","A) жетім
B) биологиялық бала
C) беру
D) асыранды бала
E) тастап кету",B,B
ea8664e77205224154f8519f922220e1,John felt that his actions were fate.   Harry said that he could have always made a different what?,"A) free will
B) choice
C) will
D) alcohol
E) freedom",B,Джон өзінің әрекеттерін тағдыр деп санады. Гарри әрқашан басқа не істей алатынын айтты?,"A) ерік
B) таңдау
C) ниет
D) алкоголь
E) бостандық",B,B
7c62637437ad7515452886074010a438,Why would a woman kill a stranger she met in a dark alley?,"A) being raped
B) get rid of
C) they didn't know the passcode
D) get revenge
E) were evil",A,Әйел неге қараңғы аллеяда кездескен бейтаныс адамды өлтірер еді?,"A) зорланғандықтан
B) құтылу үшін
C) олар құпия кодты білмеді
D) кек алу үшін
E) зұлым болғандықтан",A,A
36f1ceeecde7abf99dab635239e12442,"For many males hair is a concern as they get older, it begins to what, causing a receding hairline?","A) thin out
B) grow in ear
C) fall out
D) bulge
E) composted",C,"Көптеген ер адамдар үшін шаш үлкен мәселе болып табылады, өйткені олар қартайған сайын, ол не істей бастайды, шаш сызығының шегінуіне әкеледі?","A) жұқару
B) құлақта өсу
C) түсу
D) ісіну
E) компост болу",A,A
1feb4c2a0e8ed638259f5d27b16eae9a,Where does a wild bird usually live?,"A) cage
B) sky
C) countryside
D) desert
E) windowsill",C,Жабайы құс әдетте қайда тұрады?,"A) тор
B) аспан
C) ауылдық жер
D) шөл
E) терезе алды",C,C
846bc47ced7119ad2ee19a8780d7fe18,What will you put on a pen to prevent it from drying out?,"A) write sentences on paper
B) ink in
C) ink cartridges
D) caps
E) cling film",D,Қаламның кеуіп кетпеуі үшін не қоясыз?,"A) қағазға сөйлемдер жазу
B) сия құю
C) сия картридждері
D) қақпақтар
E) жабысқақ пленка",D,D
6e433471d0e2590b8c73ceef275022b1,James knew that he shouldn't have been buying beer for minors.  He didn't even get paid for it.  Why was this bad?,"A) lose money
B) fun
C) have no money
D) broken law
E) relaxation",D,Джеймс кәмелетке толмағандарға сыра сатып алмауы керектігін білді. Ол үшін тіпті ақша да алмады. Неліктен бұл жаман болды?,"A) ақша жоғалту
B) көңіл көтеру
C) ақшасыз қалу
D) заңды бұзу
E) демалу",D,D
3eb397b96b6c3a245c81ab30205943f1,Danny is having fun just dancing and singing with his friends. He wasn't concerned with things that weren't fun. For him having fun is the same as what?,"A) injuries
B) smiling
C) being happy
D) glee
E) jump",C,"Дэнни достарымен билеп, ән айтып көңіл көтеріп жүр. Ол көңілді емес нәрселерге алаңдамады. Оның ойынша көңіл көтеру неге тең?","A) жарақаттар
B) күлімдеу
C) бақытты болу
D) қуаныш
E) секіру",D,C
6eb57102b44ab74163d8f9821cbdabd0,What type of demands to the unions need to be making to go off strike?,"A) reasonable
B) more money
C) not go to work
D) return to work
E) union",A,Кәсіподақтар ереуілге шығу үшін қандай талаптар қоюы керек?,"A) ақылға қонымды
B) көбірек ақша
C) жұмысқа бармау
D) жұмысқа оралу
E) кәсіподақ",A,A
3c1800e7dd96d37fdd3c51b9fe502342,"james told his son to settle down and be careful.  There were many frogs mating in the area, and James didn't want his son to do what to them?","A) wander
B) migrate
C) scare
D) disturb
E) agitate",D,"Джеймс ұлына тынышталуды және абай болуды айтты. Ауданда көптеген бақалар жұптасып жатқан еді, және Джеймс ұлының оларға не істеуін қаламады?","A) адасу
B) көшу
C) қорқыту
D) мазалау
E) қоздыру",D,D
6c70d98cfb8e97fda8caefcee761a229,Zane doesn't like answering questions.  He's not good at it because he suffers from what?,"A) panic
B) discussion
C) attention
D) confusion
E) satisfaction",D,"Зейн сұрақтарға жауап бергенді ұнатпайды. Ол мұны жақсы істей алмайды, себебі ол неден зардап шегеді?","A) үрей
B) талқылау
C) назар
D) шатасу
E) қанағаттану",A,D
e151b44e0a7bf08a1dd3c861eef09161,What may I place the telephone on?,"A) bar
B) friend's house
C) desktop
D) party
E) office",C,Телефонды неге қоюыма болады?,"A) бар
B) досымның үйі
C) үстел
D) кеш
E) кеңсе",C,C
985a4f1a3f31f1ba6654f4fc48f504df,To get clean clothes you to what to them?,"A) get dirty
B) writing
C) use water
D) launder
E) soap",D,Киімдерді таза ету үшін оларға не істеу керек?,"A) кірлету
B) жазу
C) су қолдану
D) жуу
E) сабын",D,D
81f5e741d970578867495ceea5a0c848,When a group of people are talking at work they might be doing what?,"A) having a concert.
B) cough
C) sharing of ideas
D) speak
E) sneeze",C,Адамдар тобы жұмыста сөйлесіп жатқанда олар не істеп жатуы мүмкін?,"A) концерт өткізу.
B) жөтелу
C) идеялармен бөлісу
D) сөйлеу
E) түшкіру",C,C
29c194d032a266a7160bff6f546a4d9d,Where is one likely to find poker chips?,"A) supermarket
B) pantry
C) motherboard
D) bar
E) bar",D,Покер фишкаларын қайдан табуға болады?,"A) супермаркет
B) қойма
C) аналық тақта
D) бар
E) бар",A,D
7e522a60756f854c5331125f998bc36b,What kind of food makes someone sick?,"A) boat
B) necessary to live
C) edible
D) unhealthy
E) kitchen",D,Қандай тағам біреуді ауыртады?,"A) қайық
B) өмір сүруге қажетті
C) жеуге жарамды
D) денсаулыққа зиянды
E) ас үй",D,D
ea82f9e938cbfce85fb498ce46264253,What will a person do at work?,"A) cross street
B) draw attention to themselves
C) make money
D) falling down
E) come home",C,Адам жұмыста не істейді?,"A) көшеден өту
B) өзіне назар аударту
C) ақша табу
D) құлау
E) үйге қайту",C,C
ecb8758b0d088f9aedc182a516dd1190,"If I have a pet bird, what does it likely live in?","A) forest
B) bathroom
C) windowsill
D) countryside
E) cage",E,"Егер менің үй жануарым құс болса, ол қайда өмір сүреді?","A) орман
B) жуынатын бөлме
C) терезе алды
D) ауыл
E) тор",E,E
2dd138a63b5895cf737ced793cc668e7,"If you take the risk buying a used car, you still hope it can what?","A) go fast
B) start running
C) going too fast
D) look good
E) last several years",E,"Егер сіз тәуекелге барып, қолданылған көлік сатып алсаңыз, әлі де оның не істей алатынына үміттенесіз?","A) тез жүру
B) жүгіруді бастау
C) тым тез жүру
D) жақсы көріну
E) бірнеше жылға жету",E,E
f7140f00ddd8d1c5d93b05ea32ad1fff,"Many people wanted to leave their country estates for row houses, what did they need to move to?","A) living less expensively
B) england
C) prison
D) city
E) town",D,"Көптеген адамдар өздерінің ауылдық жерлерін қатар үйлерге ауыстырғысы келді, олар неге көшуі керек болды?","A) арзанырақ өмір сүру
B) Англия
C) түрме
D) қала
E) қала",D,D
6b270159bd402ddd498a38153f9d1efe,"The rats were hiding in the house, where were they?","A) sewers
B) laboratory
C) basement
D) clinic
E) cellar",E,"Егеуқұйрықтар үйде жасырынып жүрді, олар қайда болды?","A) кәріздер
B) зертхана
C) жертөле
D) клиника
E) жертөле қоймасы",C,C
67beae081a9b5ef56988f205f80cf129,If you're a child answering questions and an adult is asking them that adult is doing what?,"A) discussion
B) explaning
C) teaching
D) confusion
E) correct",C,"Егер сіз сұрақтарға жауап беріп жатқан бала болсаңыз және ересек адам оларды қойып жатса, ол ересек адам не істеп жатыр?","A) талқылау
B) түсіндіру
C) оқыту
D) шатастыру
E) түзету",C,C
d1d2585e0ba1160948b7c5822a99b7a1,Where would you buy food?,"A) freezer
B) store
C) home
D) hatred
E) kitchen",B,Сіз тамақты қайдан сатып алар едіңіз?,"A) мұздатқыш
B) дүкен
C) үй
D) жеккөрушілік
E) асүй",B,B
b7ab4a5e0c19a98f41cd1ba3176f2dff,The department to where vendors deliver goods for sale is called what?,"A) delivered
B) take away
C) receiving
D) pick up
E) keep",C,Сатушылар тауарларды сату үшін жеткізетін бөлім қалай аталады?,"A) жеткізілген
B) алып кету
C) қабылдау
D) алу
E) сақтау",C,C
de0386024f32cdf277a785a851b97544,Where could a personal ficus live?,"A) cabin in the woods
B) california
C) front yard
D) conservatory
E) tropical forest",C,Жеке фикус қайда өмір сүре алады?,"A) ормандағы кабина
B) Калифорния
C) алдыңғы аула
D) консерватория
E) тропикалық орман",D,E
08f3c187908646997b9080c7e9ea7da4,A crane uses many a steel cable when working a what?,"A) abaft
B) ship
C) winch
D) construction site
E) building",D,Кран не істегенде көптеген болат арқанды пайдаланады?,"A) артында
B) кеме
C) лебедка
D) құрылыс алаңы
E) ғимарат",D,C
79ec11d8072ce42779adfe0a19bd5374,"The child felt like it was all pretend, he didn't understand what?","A) people believe
B) daydreams
C) transcendentalism
D) laughter
E) religion",E,"Бала бәрі өтірік сияқты сезінді, ол нені түсінбеді?","A) адамдар сенеді
B) қиялдар
C) трансцендентализм
D) күлкі
E) дін",A,E
df3d27338bcf86b341b8b02d4309daf5,Where do you keep your pizza slice before you eat it?,"A) table
B) plate
C) restaurant
D) oven
E) popular",B,Пицца тілімін жеп қоймас бұрын қайда сақтайсыз?,"A) үстел
B) табақ
C) мейрамхана
D) пеш
E) танымал",B,B
a588407ecaecf0f30c2241c30b470fe2,Who is likely to be excited about a crab?,"A) fish market
B) pet shop
C) fishmongers
D) intertidal zone
E) obesity",C,Кім шаянға қызығушылық танытуы мүмкін?,"A) балық базары
B) үй жануарлары дүкені
C) балық сатушылар
D) су тасқыны аймағы
E) семіздік",B,C
adbddc80b10bf25f09c6c2bee4e3c59b,"Where can you buy a clock, clothing and wrenches?","A) counter
B) train station
C) school room
D) desk
E) department store",E,"Сағатты, киімді және кілттерді қайдан сатып алуға болады?","A) есептегіш
B) теміржол вокзалы
C) мектеп бөлмесі
D) үстел
E) әмбебап дүкен",E,E
2729d8502208c25d8e9293cd4e8ecbb5,What can disease destroy?,"A) rug
B) third world country
C) human body
D) hospital
E) building",C,Ауру не жоя алады?,"A) кілем
B) үшінші әлем елі
C) адам денесі
D) аурухана
E) ғимарат",C,D
78d1218aeff70a70904767349e3c4c53,Brawn opened the curtains so that the sun could do what?,"A) dry clothes
B) warm house
C) warm room
D) shine brightly
E) get dark",C,Браун күннің не істеуі үшін перделерді ашты?,"A) киімдерді кептіру
B) үйді жылыту
C) бөлмені жылыту
D) жарқырап жарқырау
E) қараңғы түсу",D,C
dea70fe40fac9ad03bf319bf8a480efa,What happens when airplane engines cut off and are unable to be restarted in flight?,"A) stall
B) start melting
C) taxi
D) crash
E) speed up",D,"Ұшақ қозғалтқыштары өшіп, ұшу кезінде қайта іске қосылмаса не болады?","A) тоқтап қалу
B) ери бастау
C) рулеждеу
D) апатқа ұшырау
E) жылдамдау",D,D
570be8c1edb8c638603dc5c8cae421cc,David watched some nesting birds using his binoculars while on vacation.  Where might David be?.,"A) sky
B) vaccation
C) forest
D) countryside
E) roof",C,Дэвид демалыста дүрбісімен ұя салған құстарды бақылады. Дэвид қайда болуы мүмкін?.,"A) аспан
B) демалыс
C) орман
D) ауылдық жер
E) шатыр",C,C
cf02cca40a47c2deefd8b2e5a5ff2f70,She wanted a kitten and puppy so why did she only get the puppy?,"A) one choice for pet
B) cute
C) kennel
D) soft
E) waxy",A,"Ол мысық пен күшік алғысы келді, бірақ неге тек күшікті алды?","A) үй жануары үшін бір таңдау
B) сүйкімді
C) итхана
D) жұмсақ
E) балауыздай",A,A
ab8bf60f76bc6119459271140ccae781,"Before lifting weights he liked to warm up on the squash court, he really enjoyed the facilities of the what?","A) swimming pool
B) rich person's house
C) country club
D) fitness center
E) park",D,"Салмақ көтерер алдында ол сквош алаңында қыздырынғанды ұнататын, ол қандай нысандарды шынымен ұнататын?","A) жүзу бассейні
B) бай адамның үйі
C) ел клубы
D) фитнес орталығы
E) саябақ",D,D
5279a2ea333ba8a5bf3a7637a7279da1,Batman bought beer.  There were no bottles available.  He had to settle for what?.,"A) shelf
B) soccer game
C) keg
D) can
E) refrigerator",D,Бэтмен сыра сатып алды. Бөтелкелер жоқ болды. Ол неге қанағаттануға мәжбүр болды?,"A) сөре
B) футбол ойыны
C) бөшке
D) банка
E) тоңазытқыш",D,D
0611dfbf5114084723d75f59b4f67412,What do you use to carry your briefcase?,"A) office building
B) school
C) courtroom
D) airport
E) hand",E,Сіз портфеліңізді алып жүру үшін нені қолданасыз?,"A) кеңсе ғимараты
B) мектеп
C) сот залы
D) әуежай
E) қол",E,E
f481dc35b0a97a20dc5cdfe1a59746e2,If you have to read a book that is very dry and long you may become what?,"A) have time
B) boring
C) learn new
D) enjoyable
E) bored",E,"Егер сіз өте құрғақ және ұзақ кітапты оқуға мәжбүр болсаңыз, сіз қандай күйге түсуіңіз мүмкін?","A) уақытыңыз болады
B) жалықтыратын
C) жаңаны үйрену
D) жағымды
E) жалыққан",E,E
b3dc6d6a5e2f9d7da8eb72816c80b3f8_1,"The goal was to hit the target, but a projectile ball can't hit anything if it isn't in what?","A) motion
B) ocean
C) flintlock
D) arcade
E) tennis court",A,"Мақсат нысананы дәлдеу болды, бірақ егер снаряд ештеңеге тимесе, ол неде болмайды?","A) қозғалыс
B) мұхит
C) кремень
D) ойын залы
E) теннис корты",C,C
b8b287b6277fccd4b7c9c72577177328,Where could you find a toilet that only friends can use?,"A) rest area
B) school
C) stadium
D) apartment
E) hospital",D,Дәретхананы тек достар ғана пайдалана алатын жер қайда?,"A) демалыс аймағы
B) мектеп
C) стадион
D) пәтер
E) аурухана",D,D
320ec9b68fdefe13d59cc8b628083790,How would you get from one side of a canal to another?,"A) michigan
B) amsterdam
C) venice
D) bridge
E) barges to travel on",D,Каналдың бір жағынан екінші жағына қалай өтуге болады?,"A) мичиган
B) амстердам
C) венеция
D) көпір
E) жүзетін баржалар",D,D
69bef3eb55463d040bdf98e2c97bfe1f,"To get out of there the person had to keep on walking, they had to keep on what?","A) moving forward
B) locomotion
C) blisters
D) rollerskate
E) exercise",A,"Ол жерден шығу үшін адам жүруді жалғастыруы керек болды, олар нені жалғастыруы керек болды?","A) алға жылжу
B) қозғалыс
C) көпіршіктер
D) роликті коньки тебу
E) жаттығу",A,A
ede4d302fc2ffe07703158f83c1493f2,"If there is a place that is hot and arid, what could it be?","A) bland
B) lifeless
C) sandy
D) neutral
E) freezing",B,"Егер ыстық және құрғақ жер болса, ол не болуы мүмкін?","A) дәмсіз
B) жансыз
C) құмды
D) бейтарап
E) мұздай",C,C
536c9af0fae0aa75b32874dfcac66353,Where would you find an office worker gossiping with their colleagues?,"A) water cooler
B) space shuttle
C) baby shower
D) bus stop
E) family",A,Кеңсе қызметкерін әріптестерімен өсек айтып тұрған жерден қайдан табуға болады?,"A) су салқындатқыш
B) ғарыш кемесі
C) нәресте жуу рәсімі
D) автобус аялдамасы
E) отбасы",A,A
cdd3d074031fbd3efeb4f9408abef04e,What very cold area in the east can a crab be found?,"A) fish market
B) shallow waters
C) atlantic ocean
D) fresh water
E) shore line",C,Шығыстағы өте суық аймақта шаян қайда табылуы мүмкін?,"A) балық базары
B) таяз сулар
C) атлант мұхиты
D) тұщы су
E) жағалау сызығы",B,B
ed50555f8db2b8f66caf9868dcd7e13b,"No matter what date you put on it, we all know the universe to be what?","A) very old
B) infiniverse
C) getting younger
D) infinite
E) real",A,"Қай күнді қойсаңыз да, біз бәріміз ғаламның қандай екенін білеміз?","A) өте ескі
B) шексіз ғалам
C) жасарып келеді
D) шексіз
E) шынайы",B,E
5a7f6fd97b2c9ad05f773bc8b2ecf441,How can a human cross a river and not mess up their hair?,"A) wisconsin
B) waterfall
C) hatred
D) bridge
E) valley",D,"Адам өзеннен қалай өтіп, шашын бүлдірмей алады?","A) висконсин
B) сарқырама
C) жек көру
D) көпір
E) аңғар",D,D
4f23829b96b38b5633ecc3325281726d,John rode on the plain until it reached the ocean and couldn't go any farther. What might he have bee on?,"A) mountain
B) fancy
C) sandplain
D) cliff
E) gorge",D,Джон жазықта мұхитқа жеткенше жүрді және әрі қарай жүре алмады. Ол неге мінген болуы мүмкін?,"A) тау
B) сәнді
C) құмды жазық
D) жар
E) шатқал",C,C
beef0aa2058297904bb4acc1dc340c85,When is the worst time for having food?,"A) digesting
B) not hungry
C) gas
D) weight gain
E) feeling of fullness",B,Тамақтану үшін ең нашар уақыт қашан?,"A) қорыту
B) аш емес
C) газ
D) салмақ қосу
E) толықтық сезімі",B,E
9ed019338a48216de9eadf64faaf1ce0,Where would you put a glass after drinking from it?,"A) ocean
B) water cooler
C) cabinet
D) dishwasher
E) dining room",D,Сіз шыныдан ішкеннен кейін оны қайда қоясыз?,"A) мұхит
B) су салқындатқыш
C) шкаф
D) ыдыс жуғыш машина
E) асхана",D,D
