text,label,text_kz,pred_translate_en,label_name
"IndyCar champ Kanaan finishes second and every lap FORT WORTH, Texas Helio Castroneves had a great restart today with two laps to go after a lengthy caution. He held off IndyCar Series champion Tony Kanaan to win the season finale at Texas Motor Speedway.",1,"IndyCar чемпионы Канаан екінші орынға шығып, әр айналымды аяқтады ФОРТ-УОРТ, Техас Хелио Кастроневес ұзаққа созылған сақтықтан кейін екі айналым қалғанда керемет қайта бастау жасады. Ол IndyCar сериясының чемпионы Тони Канаанды ұстап, Техас Мотор Спидвейіндегі маусымның финалын жеңіп алды.",Sports,Sports
Oracle Profit Rises on Software Demand  SAN FRANCISCO (Reuters) - Oracle Corp. on Tuesday reported  a higher quarterly profit as the world's second largest  software company benefited from steady demand for its flagship  database software.,2,"Oracle-дың пайдасы бағдарламалық қамтамасыз етуге деген сұраныстың артуымен өсті

САН-ФРАНЦИСКО (Reuters) - Oracle Corp. сейсенбі күні тоқсандық пайдасының өскенін хабарлады, себебі әлемдегі екінші ірі бағдарламалық қамтамасыз ету компаниясы өзінің негізгі дерекқор бағдарламалық қамтамасыз етуіне тұрақты сұраныстан пайда көрді.",Business,Business
Saudi Denies Failure to Pursue Insurgents (AP) AP - A senior Saudi official rejected on Friday a suggestion that his government was lax in pursuing Saudi nationals who provide money to Iraqi insurgents or terrorist groups.,0,Сауд Арабиясы көтерілісшілерді қудалауда сәтсіздікке ұшырағанын жоққа шығарады (AP) AP - Жұма күні Сауд Арабиясының жоғары лауазымды шенеунігі оның үкіметі Ирак көтерілісшілеріне немесе террористік топтарға ақша беретін Сауд Арабиясының азаматтарын қудалауда босаңдық танытты деген ұсынысты жоққа шығарды.,World,World
"National Geographic Photo Camps Give Kids New Views In New York, San Francisco, and Washington, D.C., National Geographic's Photo Camps this summer paired underprivileged students with seasoned photogropaphers. &lt;i&gt;With photo gallery.&lt;/i&gt;",3,"National Geographic Фото Лагерьлері Балаларға Жаңа Көзқарас Береді Нью-Йорк, Сан-Франциско және Вашингтон, D.C. қалаларында осы жазда National Geographic-тің Фото Лагерьлері аз қамтылған студенттерді тәжірибелі фотографтармен жұптастырды. &lt;i&gt;Фотогалереямен бірге.&lt;/i&gt;",Sci/Tech,Sci/Tech
The Next Giant Leap Rendezvous quot; for the docking techniques he developed while at MIT earning his PhD in astronautics. Lessig: Technology over ideology!,3,Келесі Үлкен Қадам Кездесуі; ол MIT-де астронавтика бойынша докторлық дәрежесін алған кезде әзірлеген түйісу әдістері үшін. Лессиг: Идеологиядан жоғары технология!,Sci/Tech,Sci/Tech
Bollywood actress Nirupa Roy dies Bollywood actress Nirupa Roy dies after a heart attack at her home in Mumbai (Bombay) aged 73.,0,"Болливуд актрисасы Нирупа Рой Мумбай (Бомбей) қаласындағы үйінде жүрек талмасынан қайтыс болды, жасы 73-те.",World,World
"Streaking Astros Clock Reds 11-5 (AP) AP - Astros pitcher Brandon Backe hit his first career homer, a two-run shot, and allowed one run in seven innings to keep Houston in the thick of the NL wild-card chase with an 11-5 rout of the Cincinnati Reds on Monday.",1,"Астростардың жеңісті сериясы Редсті 11-5 есебімен жеңді (AP) AP - Астростардың питчері Брэндон Баке өзінің мансабындағы алғашқы хоумранды соғып, екі ұпай жинады және жеті иннингте бір ғана ұпай жіберіп, дүйсенбі күні Цинциннати Редсті 11-5 есебімен жеңіп, Хьюстонды Ұлттық лиганың уайлд-кард жарысында сақтап қалды.",Sports,Sports
"Get Real? This time last week, first lady Laura Bush was having what she might call her Christmas Tree Day. First, she showed off the decorated executive mansion to reporters and then joined her husband ",2,"Шынайы болу? Өткен аптада осы уақытта бірінші ханым Лора Буш өзінің Рождестволық ағаш күнін өткізіп жатқан болатын. Алдымен ол безендірілген атқарушы резиденцияны журналистерге көрсетті, содан кейін күйеуімен бірге қосылды.",World,Business
India's Tata expands regional footprint via NatSteel buyout (AFP) AFP - India's Tata Iron and Steel Company Ltd. took a strategic step to expand its Asian footprint with the announcement it will buy the Asia-Pacific steel operations of Singapore's NatSteel Ltd.,0,"Үндістанның Tata компаниясы NatSteel-ді сатып алу арқылы аймақтық ауқымын кеңейтуде (AFP) AFP - Үндістанның Tata Iron and Steel Company Ltd. компаниясы Сингапурдың NatSteel Ltd. компаниясының Азия-Тынық мұхиты болат операцияларын сатып алатынын жариялап, Азиядағы ауқымын кеңейту үшін стратегиялық қадам жасады.",Business,World
"Wiretaps may mute Nextel rivals Fed up with technical excuses, FBI wants carriers to support eavesdropping capabilities for push-to-talk technology now.",3,Тыңдаулар Nextel бәсекелестерін үнсіз қалдыруы мүмкін. Техникалық сылтаулардан шаршаған ФБР тасымалдаушылардан push-to-talk технологиясы үшін тыңшылық мүмкіндіктерін қолдауды қазір талап етеді.,Sci/Tech,Sci/Tech
"Net firms: Don't tax VoIP The Spanish-American War is over and a ""temporary"" tax created to pay for it should not be extended to Internet phone calls, industry groups tell the IRS",3,"Интернет компаниялары: VoIP-ке салық салмаңыз Испан-Американ соғысы аяқталды және оны төлеу үшін құрылған ""уақытша"" салық интернет арқылы телефон қоңырауларына қолданылмауы керек, деп салалық топтар IRS-ке мәлімдейді.",Sci/Tech,Sci/Tech
"DHS faces IT management challenge, GAO says A  quot;formidable information and technology management challenge quot; faces the Homeland Security Department, according a report released today by the Government Accountability Office.",3,"GAO мәлімдеуінше, АҚШ-тың Ішкі қауіпсіздік департаменті ақпараттық технологияларды басқаруда қиындықтарға тап болуда Бүгін Үкіметтің есеп беру басқармасы жариялаған есепке сәйкес, Ішкі қауіпсіздік департаменті ""үлкен ақпарат және технологияларды басқару қиындықтарына"" тап болуда.",Sci/Tech,Sci/Tech
"Mandela, Tutu and others support Annan A group of high profile South Africans, including former president Nelson Mandela, has condemned attempts to force United Nations secretary-general Kofi Annan to resign.",0,"Мандела, Туту және басқалар Аннанды қолдайды Оңтүстік Африканың жоғары дәрежелі тұлғалар тобы, оның ішінде бұрынғы президент Нельсон Мандела, Біріккен Ұлттар Ұйымының бас хатшысы Кофи Аннанды отставкаға кетуге мәжбүрлеу әрекеттерін айыптады.",World,World
"Service-Sector Revenues Rise in Q2 Revenues in key sectors of the US services industry grew in the second quarter, the government said on Monday in a new survey aimed at measuring growth in the giant tranche of the economy.",2,"АҚШ қызмет көрсету саласының негізгі секторларындағы кірістер екінші тоқсанда өсті, деп дүйсенбі күні үкімет экономикадағы алып бөліктің өсуін өлшеуге бағытталған жаңа сауалнамада хабарлады.",Business,Business
"Hartford Sees \$91 Mln in Charley Losses  NEW YORK (Reuters) - Hartford Financial Services Group Inc.  &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=HIG.N target=/stocks/quickinfo/fullquote""&gt;HIG.N&lt;/A&gt; on Tuesday became the latest insurer to issue a profit  warning tied to Hurricane Charley, the strongest storm to hit  Florida in a dozen years.",2,"Хартфорд Чарли дауылынан 91 миллион доллар шығын көрді  НЬЮ-ЙОРК (Reuters) - Hartford Financial Services Group Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=HIG.N target=/stocks/quickinfo/fullquote""&gt;HIG.N&lt;/A&gt; сейсенбі күні Флоридаға соңғы он екі жылдағы ең күшті дауыл Чарлидің әсерінен пайда туралы ескерту жасаған соңғы сақтандыру компаниясы болды.",Business,Business
Oxford 18 Cambridge 11 Replacement winger Ross Lavery scored the decisive try just two minutes from time as Oxford finally justified the favourites tag they had carried into each of the last three matches.,1,"Оксфорд 18 Кембридж 11 Орынбасар қанат ойыншысы Росс Лавери Оксфорд соңғы үш матчта да өздерімен бірге алып жүрген фаворит атағын ақтаған кезде, уақыттан екі минут бұрын шешуші три жасады.",Sports,Sports
"Fresh violence mars Afghan vote count A deadly explosion has hit a car carrying an election worker in southeastern Afghanistan. In all, five people were killed, including the worker identified as a local physician who helped organize the vote.",0,"Ауғанстандағы дауыс санау кезінде жаңа зорлық-зомбылық орын алды. Оңтүстік-шығыс Ауғанстанда сайлау қызметкерін тасымалдап келе жатқан көлікте жарылыс болды. Барлығы бес адам қаза тапты, оның ішінде дауыс беруді ұйымдастыруға көмектескен жергілікті дәрігер ретінде анықталған қызметкер де бар.",World,World
Symantec to offer Web-based Norton AntiVirus console The Web console -- to be made available specifically to corporate and enterprise licensees of Norton AntiVirus software -- will allow administrators to distribute virus definitions and product updates on demand.,3,Symantec Norton AntiVirus бағдарламасының веб-негізделген консолін ұсынады Веб-консоль -- Norton AntiVirus бағдарламалық жасақтамасының корпоративтік және кәсіпорын лицензияларының иелеріне арнайы қолжетімді болады -- әкімшілерге вирус анықтамаларын және өнім жаңартуларын сұраныс бойынша таратуға мүмкіндік береді.,Sci/Tech,Sci/Tech
"Voting Machines Remain Unsecured--Experts In one example, a government study of voting-machine security issues was eventually canceled because conclusions by the panel of computer scientists were so negative.",3,"Дауыс беру машиналары әлі де қорғалмаған -- Сарапшылар Бір мысалда, дауыс беру машиналарының қауіпсіздік мәселелерін зерттеген үкіметтік зерттеу ақырында тоқтатылды, себебі компьютер ғалымдары панелінің қорытындылары өте теріс болды.",Sci/Tech,Sci/Tech
"Cavaliers Defeat Nets 103-97 (AP) AP - LeBron James scored 27 points and assisted on Lucious Harris' clinching 3-pointer with 6 seconds left as the first-place Cleveland Cavaliers won their eighth straight at home, 103-97 over the New Jersey Nets on Tuesday night.",1,"Кавальерс Нетсті 103-97 есебімен жеңді (AP) AP - Леброн Джеймс 27 ұпай жинап, Лушиус Харристің шешуші 3 ұпайлық добын 6 секунд қалғанда орындауына көмектесті. Бірінші орындағы Кливленд Кавальерс сейсенбі күні кешке Нью-Джерси Нетсті 103-97 есебімен жеңіп, үйдегі қатарынан сегізінші жеңісіне қол жеткізді.",Sports,Sports
"Computer Associates exec pleads not guilty Sanjay Kumar, the former chief executive of Computer Associates of Islandia, NY, pleaded innocent Thursday to charges he helped inflate financial results.",2,"Компьютер Ассошиэйтс басшысы кінәсіз екенін мәлімдеді

Нью-Йорк штатының Айлендия қаласындағы Компьютер Ассошиэйтс компаниясының бұрынғы бас директоры Санджай Кумар бейсенбі күні қаржылық нәтижелерді жасанды түрде жоғарылатуға көмектесті деген айыптауларға кінәсіз екенін мәлімдеді.",Business,Business
"Business ; Fiat Talks Tough Ahead of Key GM Meeting  quot;There is a very good argument to say that the Italian car plants could benefit from the relocation of other GM businesses in Europe, quot; Marchionne was quoted as saying.",2,"Бизнес; Fiat GM-нің маңызды жиналысы алдында қатаң сөйлейді ""Италияндық автокөлік зауыттары Еуропадағы басқа GM бизнесінің көшуінен пайда көре алады деген өте жақсы дәлел бар,"" - деп Марджионне айтқан.",Business,Business
"Fan v Fan: Manchester City-Tottenham Hotspur This weekend Manchester City entertain Spurs, and with last seasons seven-goal FA Cup epic between the two teams still fresh in the memory, entertain could be the operative word.",1,"Фан қарсы Фан: Манчестер Сити-Тоттенхэм Хотспур Осы демалыс күндері Манчестер Сити Тоттенхэмді қабылдайды, және өткен маусымдағы екі команда арасындағы жеті голдық ФА Кубогының эпикалық ойыны әлі де есте сақталғандықтан, ""қабылдайды"" сөзі дәл келетін сөз болуы мүмкін.",Sports,Sports
"General Mills goes whole grains NEW YORK (CNN/Money) - General Mills announced plans Thursday to start using healthier whole grains in all of its ready-to-eat cereals, including children #39;s cereals such as Trix, Cocoa Puffs and Lucky Charms.",2,"General Mills толық дәнді дақылдарға көшеді НЬЮ-ЙОРК (CNN/Money) - General Mills бейсенбі күні барлық дайын таңғы астарында, соның ішінде балаларға арналған Trix, Cocoa Puffs және Lucky Charms сияқты таңғы астарында денсаулыққа пайдалы толық дәнді дақылдарды қолдануды бастау жоспарын жариялады.",Business,Business
"Lazard adversaries edge closer to a deal Bruce Wasserstein, head of Lazard, could reach an agreement as early as this week with Michel David-Weill, the chairman, extending the deadline for ",2,"Лазард қарсыластары келісімге жақындап келеді Лазард басшысы Брюс Уассерстейн осы аптада төраға Мишель Давид-Вейлмен келісімге келіп, мерзімді ұзартуы мүмкін.",Business,Business
"Japanese Prime Minister Inspects Four Northern Islands under &lt;b&gt;...&lt;/b&gt; On September 2, Japanese Prime Minister Junichiro Koizumi (right) inspects four northern islands that are under territorial dispute with Russia.",0,Жапония Премьер-министрі Төрт Солтүстік Аралды тексерді ... 2 қыркүйекте Жапония Премьер-министрі Дзюнъитиро Коидзуми (оң жақта) Ресеймен аумақтық дау-дамайда тұрған төрт солтүстік аралды тексерді.,World,World
"This Just In - Sprint is Stupid \\Found this  via BoingBoing this morning:\\""The new Treo 650 is out today -- and as a long-time fan of the Treo, I've been\looking forward to it. I've asked in the past for ""one with everything"" -- a\phone with all the features I could want in one device, without\compromises. It looks like PalmOne delivered, with a 320x320 screen, removable\battery, upgraded OS, a better camera, and Bluetooth.""\\""Oops -- not quite! TreoCentral is reporting that the Sprint version of the\Treo 650 doesn't allow you to use Bluetooth for dial-up networking through\your computer. Apparently other carriers will, but not Sprint.""\\""You see, Sprint sells connection cards, which are PCCards that allow you to\dial up y ...\\",3,"Бұл Жаңалық - Sprint ақымақ \\Бүгін таңертең BoingBoing арқылы таптым:\\""Жаңа Treo 650 бүгін шықты -- және Treo-ның ұзақ уақыт бойы жанкүйері ретінде, мен оны асыға күттім. Бұрын мен ""бәрі бар біреуін"" сұраған едім -- барлық мүмкіндіктері бар телефонды бір құрылғыда, ешқандай ымырасыз. PalmOne 320x320 экран, алынбалы батарея, жаңартылған ОС, жақсы камера және Bluetooth-пен қамтамасыз еткендей көрінеді.""\\""Ой, олай емес екен! TreoCentral хабарлауынша, Treo 650-нің Sprint нұсқасы компьютер арқылы Bluetooth-ты теру желісіне пайдалану мүмкіндігін бермейді. Басқа операторлар мүмкіндік береді, бірақ Sprint емес.""\\""Көрдіңіз бе, Sprint байланыс карталарын сатады, олар сізге теру мүмкіндігін беретін PCCards ...\\",Sci/Tech,Sci/Tech
"S.Africa Cancels Thatcher Meeting with Eq. Guinea South Africa has canceled a meeting with prosecutors from Equatorial Guinea who had hoped to interview Mark Thatcher on his suspected links to a coup plot in the oil-rich country, officials said on Sunday.",0,Оңтүстік Африка Экваторлық Гвинеямен Тэтчер кездесуін тоқтатты Оңтүстік Африка жексенбі күні Экваторлық Гвинеяның прокурорларымен кездесуді тоқтатқанын мәлімдеді. Олар мұнайға бай елдегі төңкеріс жоспарына қатысы бар деп күдіктелген Марк Тэтчерден сұхбат алуды көздеген болатын.,World,World
Half.com to continue at full speed This fourth priority #39;s main focus has been improving or obtaining CRM and ERP software for the past year and a half. Online auction giant eBay won #39;t be closing down its Half.,3,Half.com толық қарқынмен жалғасады Бұл төртінші басымдықтың негізгі мақсаты соңғы бір жарым жыл ішінде CRM және ERP бағдарламалық жасақтамасын жақсарту немесе алу болды. Онлайн аукцион алыбы eBay өзінің Half платформасын жаппайды.,Business,Sci/Tech
Court bars MCI from making payments A federal court Wednesday barred No. 2 US long-distance carrier MCI Inc. from making further payments to cover more than \$25 million in unauthorized expenses related to bankruptcy of predecessor WorldCom.,2,Сот MCI-ге төлемдер жасауды тыйды Федералды сот сәрсенбі күні АҚШ-тағы екінші ірі алыс қашықтыққа байланыс қызметін көрсетуші MCI Inc. компаниясына бұрынғы WorldCom компаниясының банкроттығына байланысты рұқсат етілмеген шығындарды жабу үшін 25 миллион доллардан астам төлемдерді одан әрі жүзеге асыруға тыйым салды.,Business,Business
"Browns coach Davis resigns; Robiskie named interim coach BEREA, Ohio (Ticker) - One day after admitting that his shaky job status was a  quot;distraction quot; to his players, Butch Davis resigned as coach of the Cleveland Browns on Tuesday.",1,"Браунстың жаттықтырушысы Дэвис отставкаға кетті; Робиски уақытша жаттықтырушы болып тағайындалды БЕРЕА, Огайо (Ticker) - Өзінің тұрақсыз жұмыс жағдайы ойыншыларына «алаңдаушылық» тудыратынын мойындағаннан кейін бір күн өткен соң, Бутч Дэвис сейсенбі күні Кливленд Браунстың жаттықтырушысы қызметінен кетті.",Sports,Sports
IBM launches top-end Power5 servers IBM has expanded the top end of its eServer range with three multiple-processor systems aimed at datacentres and large enterprise clients.,3,IBM дербес Power5 серверлерін іске қосты IBM өзінің eServer ауқымының жоғарғы бөлігін деректер орталықтары мен ірі кәсіпорын клиенттеріне арналған үш көп процессорлы жүйемен кеңейтті.,Sci/Tech,Sci/Tech
