review,sentiment,review_kz,predicted_kz
"I watched this film not really expecting much, I got it in a pack of 5 films, all of which were pretty terrible in their own way for under a fiver so what could I expect? and you know what I was right, they were all terrible, this movie has a few (and a few is stretching it) interesting points, the occasional camcorder view is a nice touch, the drummer is very like a drummer, i.e damned annoying and, well thats about it actually, the problem is that its just so boring, in what I can only assume was an attempt to build tension, a whole lot of nothing happens and when it does its utterly tedious (I had my thumb on the fast forward button, ready to press for most of the movie, but gave it a go) and seriously is the lead singer of the band that great looking, coz they don't half mention how beautiful he is a hell of a lot, I thought he looked a bit like a meercat, all this and I haven't even mentioned the killer, I'm not even gonna go into it, its just not worth explaining. Anyway as far as I'm concerned Star and London are just about the only reason to watch this and with the exception of London (who was actually quite funny) it wasn't because of their acting talent, I've certainly seen a lot worse, but I've also seen a lot better. Best avoid unless your bored of watching paint dry.",negative,"Мен бұл фильмді аса үміттенбей қарадым, оны 5 фильмнен тұратын жинақтан алдым, олардың әрқайсысы өз ерекшелігімен жаман болатын, әрі бағасы бес фунттан төмен еді, сондықтан не күтуге болатынын білмедім. Және де, мен дұрыс болдым, барлығы да жаман болды. Бұл фильмде бірнеше (және бірнеше дегеніміз де асыра сілтеу) қызықты сәттер бар, кейде камерадан түсірілген көріністер жақсы әсер береді, барабаншы барабаншыға өте ұқсайды, яғни жалықтыратын, және сол ғана. Мәселе мынада, фильм өте жалықтырады, мен тек шиеленісті арттыруға тырысқан деп ойлаймын, бірақ көп нәрсе болмайды, ал болғаны да өте жалықтырады (фильмнің көп бөлігінде жылдамдату түймесін басуға дайын отырдым, бірақ көріп көрдім). Ал басты әншінің сыртқы келбеті соншалықты жақсы ма екен, өйткені олар оның әдемілігін жиі-жиі айтып өтеді, мен оған біртүрлі мееркатқа ұқсайды деп ойладым. Бұл туралы айтпағанда, өлтіруші жайлы ештеңе айтпаймын, оны түсіндірудің қажеті жоқ. Қалай болғанда да, мен үшін Star мен London ғана көруге тұрарлық себептер, ал London (шын мәнінде күлкілі болды) актерлік шеберлігі үшін емес. Мен әлдеқайда нашарларын да көрдім, бірақ әлдеқайда жақсысын да. Егер сіз бояудың кебуін көруден жалығып қалсаңыз ғана қараңыз.",negative
"I bought this film at Blockbuster for $3.00, because it sounded interesting (a bit Ranma-esque, with the idea of someone dragging around a skeleton), because there was a cute girl in a mini-skirt on the back, and because there was a Restricted Viewing sticker on it. I thought it was going to be a sweet or at least sincere coming of age story with a weird indie edge. I was 100% wrong.<br /><br />Having watched it, I have to wonder how it got the restricted sticker, since there is hardly any foul language, little violence, and the closest thing to nudity (Honestly! I don't usually go around hoping for it!) is when the girl is in her nightgown and you see her panties (you see her panties a lot in this movie, because no matter what, she's wearing a miniskirt of some sort). Even the anti-religious humor is tame (and lame, caricatured, insincere, derivative, unoriginal, and worst of all not funny in the slightest--it would be better just to listen to Ray Stevens' ""Would Jesus Wear a Rolex on His Television Show""). This would barely qualify as PG-13 (it is Not Rated), but Blockbuster refuses to let anyone under the age of 17 rent this--as if it was pornographic. Any little kid could go in there and rent the edited version of Requiem for a Dream, but they insist that Zack and Reba is worse.<br /><br />It is, but not in that way.<br /><br />In a way, this worries me--the only thing left that could offend people is the idea of the suicide at the beginning. If anybody needs to see movies with honestly portrayed suicides (not this one, but better ones like The Virgin Suicides), it's teenagers. If both of those movies were rated R purely because of the suicide aspect, then I have little chance of turning a story I've been writing into a PG-13 movie (the main characters are eleven and a half and twelve). Suicide is one of the top three leading causes of death in teenagers (I think it's number 2), so chances are that most teens have been or will be affected by it.<br /><br />Just say no to this movie, though. 2/10.",negative,"Мен бұл фильмді Blockbuster дүкенінен 3 долларға сатып алдым, себебі ол қызықты сияқты көрінді (біртүрлі Ranma стилінде, біреу сүйекті сүйретіп жүреді деген идеямен), арт жағында мини-юбка киген сүйкімді қыз болғандықтан және фильмде Restricted Viewing деген жапсырма болғандықтан. Мен бұл фильмнің тәтті немесе кем дегенде шынайы жасөспірімдік кезең туралы әңгіме болар деп ойладым, бірақ қатты қателестім. Фильмді көргеннен кейін, оның Restricted жапсырмасын қалай алғанына таң қаламын, өйткені онда дөрекі сөздер өте аз, зорлық-зомбылық та аз, ал жалаңаштыққа ең жақын нәрсе (шын айтсам, мен әдетте мұны күтпеймін!) қыздың түнгі көйлек киіп, іш киімін көруің ғана (фильмде оның іш киімін жиі көресің, себебі ол әрдайым мини-юбка киеді). Тіпті дінге қарсы әзілдер де жұмсақ (және көңілсіз, карикатуралы, шынайы емес, көшірме, түпнұсқа емес және ең жаманы – мүлде күлкілі емес – Рэй Стивенстің «Would Jesus Wear a Rolex on His Television Show» әнін тыңдағаның әлдеқайда жақсы). Бұл фильм PG-13 рейтингіне де сай келмейді (рейтингі жоқ), бірақ Blockbuster 17 жасқа толмағандарға оны жалға бермейді – тіпті порнографиялық фильмдей қаралады. Кез келген бала «Requiem for a Dream» фильмінің өңделген нұсқасын оңай жалға ала алады, бірақ олар «Zack and Reba» фильмін одан да қауіпті деп санайды. Иә, қауіпті, бірақ басқа мағынада. Бұл маған алаңдаушылық тудырады – адамдарды ренжітуі мүмкін жалғыз нәрсе – фильмнің басындағы өзін-өзі өлтіру идеясы. Егер шынайы көрсетілген өзін-өзі өлтіру туралы фильмдерді көру керек болса (бұл фильм емес, бірақ «The Virgin Suicides» сияқты жақсы фильмдер), онда ол жасөспірімдерге арналған. Егер осы екі фильм де өзін-өзі өлтіру тақырыбына байланысты R рейтингіне ие болса, онда мен жазып жатқан әңгімемді PG-13 фильмге айналдыру мүмкіндігім аз (негізгі кейіпкерлер 11 жарым және 12 жаста). Өзін-өзі өлтіру – жасөспірімдер арасындағы өлімнің үш негізгі себептерінің бірі (менің ойымша, екінші орында), сондықтан көп жасөспірімдер бұл жағдайға ұшыраған немесе ұшырайды. Дегенмен, бұл фильмге «жоқ» деп айтыңыз. Бағасы: 2/10.",negative
"The plot is about the death of little children. Hopper is the one who has to investigate the killings. During the movie it appears that he has some troubles with his daughter. In the end the serial killer get caught. That's it. But before you find out who dunnit, you have to see some terrible acting by all of the actors. It is unbelievable how bad these actors are, including Hopper. I could go on like this but that to much of a waste of my time. Just don't watch the movie. I've warned you.",negative,"Оқиға кішкентай балалардың өлімі туралы. Хоппер – осы қылмыстарды тергеуі тиіс адам. Фильм барысында оның қызына қатысты кейбір қиындықтары бар екені көрінеді. Соңында сериялы кісі өлтіруші ұсталады. Міне, сол ғана. Бірақ кім істегенін білмес бұрын, барлық актерлердің, соның ішінде Хоппердің де, өте нашар ойнағанын көруіңіз керек. Бұл актерлердің осыншалықты нашар болуы сенгісіз. Мен бұлай жалғастыра берер едім, бірақ бұл менің уақытымды босқа кетіру. Фильмді қарамаңыз. Мен сізге ескерттім.",negative
"Ever watched a movie that lost the plot? Well, this didn't even really have one to begin with.<br /><br />Where to begin? The achingly tedious scenes of our heroine sitting around the house with actually no sense of menace or even foreboding created even during the apparently constant thunderstorms (that are strangely never actually heard in the house-great double glazing)? The house that is apparently only a few miles from a town yet is several hours walk away(?) or the third girl who serves no purpose to the plot except to provide a surprisingly quick gory murder just as the tedium becomes unbearable? Or even the beginning which suggests a spate of 20+ killings throughout the area even though it is apparent the killer never ventures far from the house? Or the bizarre ritual with the salt & pepper that pretty much sums up most of the films inherent lack of direction.<br /><br />Add a lead actress who can't act but at least is willing to do some completely irrelevant nude shower scenes and this video is truly nasty, but not in the way you hope.<br /><br />Given a following simply for being banned in the UK in the 80's (mostly because of a final surprisingly over extended murder) it offers nothing but curiosity value- and one classic 'daft' murder (don't worry-its telegraphed at least ten minutes before).<br /><br />After a walk in the woods our victim comes to a rather steep upward slope which they obviously struggle up. Halfway through they see a figure at the top dressed in black and brandishing a large scythe. What do they do? Slide down and run like the rest of us? No, of course not- they struggle to the top and stand conveniently nice and upright in front of the murder weapon.<br /><br />It really IS only a movie as they say..",negative,"Фильмнің сюжеті жоғалғанын көрдіңіз бе? Бұл фильмде тіпті бастапқыда сюжет болған жоқ. Қайдан бастау керек? Біздің кейіпкеріміздің үйде отырып, ешқандай қауіп немесе тіпті зәредей де үрей сезімін тудырмайтын, қатты жалықтыратын көріністерінен ме? Тұрақты жаңбырлы дауылдар болып жатса да, үйде оларды естімейсіз (керемет екі қабатты терезелер ме екен?). Қалаға бірнеше шақырым ғана қашықтықта орналасқан үй, бірақ оған жету үшін бірнеше сағат жаяу жүру керек пе? Немесе сюжетке ешқандай пайдасы жоқ үшінші қыз, тек жалықтыратын сәтте күтпеген жерден қанқұйлы өлімге ұшырайды? Немесе аймақта 20-дан астам адам өлтіру оқиғалары болғанын көрсететін бастамасы, бірақ өлтіруші үйден алысқа шықпайтыны анық па? Немесе тұз бен бұрышпен жасалатын оғаш рәсім, фильмнің бағытсыздығын толықтай сипаттайды. Негізгі актриса ойнай алмайды, бірақ кем дегенде мағынасыз жалаңаш душ көріністерін жасауға дайын. Бұл видео шынымен жағымсыз, бірақ сіз күткендей емес. 1980-жылдары Ұлыбританияда тыйым салынғаны үшін ғана белгілі болған (негізінен соңғы ұзаққа созылған өлім сахнасы үшін), бұл фильм тек қызығушылық тудырады — және бір классикалық «ақылсыз» өлім (қорықпаңыз, ол кем дегенде он минут бұрын алдын ала көрсетіледі). Орманда серуендегеннен кейін, біздің құрбымыз қатты тік өрлеп барады. Жарты жолда олар қара киім киген, үлкен орақ ұстаған біреуді көреді. Олар не істейді? Басқалар сияқты сырғып түсіп, қашады ма? Жоқ, әрине емес — олар шыңға жетіп, өлім қаруының алдында тік тұрады. Бұл шынымен де тек фильм ғана екен, айтылғандай...",negative
"Okay, so this series kind of takes the route of 'here we go again!' Week in, week out David Morse's character helps out his ride who is in a bit of a pickle - but what's wrong with that!? David Morse is one of the greatest character actors out there, and certainly the coolest, and to have him in a series created by David Koepp - a great writer - is heaven!!<br /><br />Due to the lack of love for this show by many, I can't see it going to a season series - but you never know? The amount of rubbish that has made it beyond that baffles me - let's hope something good can make it past a first series!!!",positive,"Жарайды, бұл сериал «қайтадан бастаймыз ба?» деген бағытты ұстанады! Апта сайын Дэвид Морстың кейіпкері қиын жағдайға тап болған досына көмектеседі – бірақ мұның қандай жаманы бар?! Дэвид Морс – ең керемет актерлердің бірі, әрі ең салқаны, ал оны Дэвид Коупп жасаған сериалда көру – нағыз бақыт!! Бұл шоуға көпшілік сүйіспеншілік танытпағандықтан, оның бірнеше маусымға созылатынына сенбеймін – бірақ ешқашан білмейсің? Бірінші маусымнан асып кеткен көптеген нашар туындыларға таң қаламын – енді бір жақсысы бірінші маусымнан өтіп кетсін деп үміттенейік!!!",positive
"After sitting through this pile of dung, my husband and I wondered whether it was actually the product of an experiment to see whether a computer program could produce a movie. It was that listless and formulaic. But the U.S. propaganda thrown in your face throughout the film proves--disappointingly--that it's the work of humans. Call me a conspiracy theorist, but quotes like, ""We have to steal the Declaration of Independence to protect it"" seem like ways to justify actions like the invasion of Iraq, etc. The fact that Nicholas Cage spews lines like, ""I would never use the Declaration of Independence as a bargaining chip"" with a straight face made me and my husband wonder whether the entire cast took Valium before shooting each scene. The ""reasoning"" behind each plot turn and new ""clue"" is truly ridiculous and impossible to follow. And there's also a bonus side plot of misogyny, with Dr. Whatever-Her-Name-Was being chided by all involved for ""never shutting up."" She's clearly in the movie only for looks, but they felt the need to slap a ""Dr."" title on her character to give her some gravity. At one point, Cage's character says, ""Don't you ever shut up?"" and the camera pans to her looking poutily down at her hands, like she's a child. Truly grotesque. The only benefit to this movie was that it's so astonishingly bad, you do get a few laughs out of it. The really scary thing is that a majority of the people watching the movie with us seemed to enjoy it. Creepy....",negative,"Бұл жаман фильмді көріп отырып, күйеуім мен мен оның шын мәнінде компьютерлік бағдарлама арқылы жасалған фильм бе деп ойладық. Ол соншалықты жансыз әрі формулалық болды. Бірақ фильм бойы бетімізге лақтырылған АҚШ пропагандасы – өкінішке орай – бұл адамның еңбегі екенін дәлелдейді. Мені теориялық конспирацияшы деп атаңыз, бірақ «Тәуелсіздік декларациясын қорғау үшін ұрлауымыз керек» деген сияқты дәйексөздер Иракқа басып кіру сияқты әрекеттерді ақтаудың жолы сияқты көрінеді. Николас Кейджтің «Мен ешқашан Тәуелсіздік декларациясын сауда құралы ретінде қолданбаймын» деген сөздерді бетіне ешқандай эмоциясыз айтуы мен күйеуімді ойландырып, барлық актерлер әр сахнаға түсірер алдында валиум ішкен бе деп ойлатты. Әр сюжет бұрылысы мен жаңа «із» үшін берілген «логика» шынымен күлкілі әрі түсініксіз. Сонымен қатар, фильмде әйелдерге деген теріс көзқарастың қосымша сюжеті бар, доктор Қалай-Аты-Бар-Болса, барлығы тарапынан «ешқашан тынбайды» деп сөгіледі. Ол фильмде тек сыртқы келбеті үшін ғана бар сияқты, бірақ кейіпкеріне «Доктор» атағын беріп, оған бір салмақ қосқысы келген. Бір сәтте Кейджтің кейіпкері «Сен ешқашан тынбайсың ба?» деп айтады, камера оның қолына қарап, бала сияқты мұңайғанын көрсетеді. Шынымен де қорқынышты. Бұл фильмнің жалғыз пайдасы – соншалықты нашар болғандықтан, кей жерлерінде күліп алуға болады. Ең қорқыныштысы – бізбен бірге фильмді көрген көпшілік адамдар оны ұнатқан сияқты көрінді. Бұл үрейлі...",negative
"It had all the clichés of movies of this type and no substance. The plot went nowhere and at the end of the movie I felt like a sucker for watching it. The production was good; however, the script and acting were B-movie quality. The casting was poor because there were good actors mixed in with crumby actors. The good actors didn't hold their own nor did they lift up the others. <br /><br />This movie is not worthy of more words, but I will say more to meet the minimum requirement of ten lines. James Wood and Cuba Gooding, Jr. play caricatures of themselves in other movies. <br /><br />If you are looking for mindless entertainment, I still wouldn't recommend this movie.",negative,"Бұл фильм осы типтегі фильмдердің барлық клишелерін қамтыды және ешқандай мән-мағынасы жоқ болды. Оқиға ешқайда бармай, фильмнің соңында оны көргеніме өкіндім. Өндірісі жақсы болды; дегенмен, сценарий мен актерлік шеберлік B-сыныпты фильм деңгейінде болды. Актерлер таңдалуы нашар болды, өйткені жақсы актерлер нашар актерлермен араласқан. Жақсы актерлер өздерін көрсете алмады және басқаларды көтере алмады. Бұл фильмге көп сөз арнауға тұрарлық емес, бірақ он жолдық минималды талапты орындау үшін тағы айтамын. Джеймс Вуд пен Куба Гудинг, кіші басқа фильмдерде өздерінің карикатураларын сомдайды. Егер сіз мағынасыз көңіл көтеруді іздесеңіз де, мен бұл фильмді ұсынбаймын.",negative
"This movie is based on the book, ""A Many Splendored Thing"" by Han Suyin and tackles issues of race relations between Asians and Whites, a topic that comes from Han's personal experiences as an Eurasian growing up in China. That background, and the beautiful Hong Kong settings, gives this love story a unique and rather daring atmosphere for its time.<br /><br />Other than that, the story is a stereotypical romance with a memorable song that is perhaps more remembered than the movie itself. The beautiful Jennifer Jones looks the part and gives a wonderful, Oscar nominated performance as a doctor of mixed breed during the advent of Communism in mainland China. William Holden never looked better playing a romantic lead as a journalist covering war torn regions in the world. The acting is top notch, and the chemistry between the two lovers provides for some genuine moments of silver screen affection sure to melt the hearts of those who are romantically inclined.<br /><br />The cinematography really brings out fifty's Hong Kong, especially the hilltop overlooking the harbor where the two lovers spend their most intimate moments. The ending is a real tear-jerker. Some may consider sentimental romances passé, but, for those who enjoy classic Hollywood love stories, this is a shining example.",positive,"Бұл фильм Хан Суйиннің «Көп қырлы махаббат» атты кітабына негізделген және азиялықтар мен ақ нәсілділер арасындағы нәсілдік қатынастар мәселесін қозғайды, бұл тақырып Ханның Қытайда өскен Евразиялық ретінде жеке тәжірибесінен туындаған. Осы фон мен әдемі Гонконг көріністері бұл махаббат хикаясына өз дәуірі үшін ерекше әрі батыл атмосфера береді. Одан бөлек, оқиға стереотипті романтика болып табылады, ал фильмнен гөрі есте қаларлық әні бар. Әдемі Дженнифер Джонс рөлге сай көрініп, Қытай материгінде коммунизмнің пайда болу кезеңінде аралас ұлтты дәрігер рөлінде тамаша, Оскарға ұсынылған ойын көрсетеді. Уильям Холден соғыс зардап шеккен аймақтарды қамтитын журналист ретінде романтикалық басты кейіпкер рөлінде бұрын-соңды болмағандай көрінеді. Актерлік шеберлік жоғары деңгейде, ал екі ғашық арасындағы химия экрандағы шынайы сезімдерді туғызып, романтикалық көңіл-күйдегі көрермендердің жүрегін еріте түседі. Кинематография 1950-жылдардағы Гонконгты ерекше көрсетеді, әсіресе екі ғашықтың ең жақын сәттерін өткізетін портқа қарай төбеде орналасқан жерді. Соңы шын мәнінде көз жастарын ақтырады. Кейбіреулер сентименталды романдарды ескірген деп санауы мүмкін, бірақ классикалық Голливуд махаббат хикаяларын ұнататындар үшін бұл жарқыраған үлгі болып табылады.",positive
"Of all the films I have seen, this one, The Rage, has got to be one of the worst yet. The direction, LOGIC, continuity, changes in plot-script and dialog made me cry out in pain. ""How could ANYONE come up with something so crappy""? Gary Busey is know for his ""B"" movies, but this is a sure ""W"" movie. (W=waste).<br /><br />Take for example: about two dozen FBI & local law officers surround a trailer house with a jeep wagoneer. Inside the jeep is MA and is ""confused"" as to why all the cops are about. Within seconds a huge gun battle ensues, MA being killed straight off. The cops blast away at the jeep with gary and company blasting away at them. The cops fall like dominoes and the jeep with Gary drives around in circles and are not hit by one single bullet/pellet. MA is killed and gary seems to not to have noticed-damn that guy is tough. Truly a miracle, not since the six-shooter held 300 bullets has there been such a miracle.",negative,"Мен көрген барлық фильмдердің ішінен бұл, The Rage, ең нашарларының бірі болуы керек. Режиссурасы, ЛОГИКАСЫ, үздіксіздігі, сюжет-сценарий мен диалогтағы өзгерістер мені ауырттырып жылауға мәжбүр етті. «Қалайша КІМДЕ БІРЕУ осындай нашар нәрсе ойлап таба алады?» Гэри Бьюзи өзінің «В» фильмдерімен танымал, бірақ бұл анық «Ш» фильмі (Ш=шығын). Мысалы, шамамен жиырмаға жуық ФБР мен жергілікті құқық қорғау органдары джип вагонермен трейлер үйін қоршайды. Джиптің ішінде МА бар және ол неге барлық полиция қызметкерлері жиналғанына «шатасқан». Бірнеше секунд ішінде үлкен атыс басталады, МА бірден қаза табады. Полиция қызметкерлері джипке оқ жаудырады, ал Гэри мен оның серіктері оларға оқ жаудырады. Полиция қызметкерлері домино сияқты құлап жатады, ал Гэри отырған джип шеңберлеп жүріп, бірде-бір оққа немесе оқшаулауға ұшырамайды. МА қаза табады, ал Гэри байқамай қалған сияқты — мына жігіт шынымен де төзімді екен. Бұл шын мәнінде керемет, 300 оқ сақтайтын алтыатқыштан бері мұндай керемет болмаған еді.",negative
"I had heard good things about ""States of Grace"" and came in with an open mind. I thought that ""God's Army"" was okay, and I thought that maybe Dutcher had improved and matured as a filmmaker. The film began with some shaky acting, and I thought, ""well, maybe it will get better."" Unfortunately, it never did. The picture starts out by introducing two elders -- Mormon missionaries -- and it seems that the audience will get to know them and grow to care about them. Instead, the story degenerates into a highly improbable series of unfortunate events highlighting blatant disobedience by the missionaries (something that undeniably exists, but rarely on the level that Dutcher portrays) and it becomes almost laughable.<br /><br />Dutcher's only success in this movie is his successful alienation of his target audience. By unrealistically and inaccurately portraying the lives of Mormon missionaries, Dutcher accomplishes nothing more than angering his predominantly Mormon audience. The film in no way reflects reality. Missions are nothing like what Dutcher shows (having served a Mormon mission myself I can attest to this fact) and gang life in California certainly contains much more explicit language than the occasional mild vulgarity.<br /><br />The conclusion, which I'm assuming was supposed to touch the audience and inspire them to believe that forgiveness is available to all, was both unbelievable (c'mon, the entire mission gathers to see this elder sent home -- and the mom and the girl are standing right next to each other!) and cheesy. Next time, Dutcher, try making a movie that SOMEONE can identify with.",negative,"«States of Grace» туралы жақсы пікірлер естіген едім және ашық көңілмен бардым. «God's Army» фильмін орташа деп ойлайтынмын, ал Dutcher режиссер ретінде жетіліп, дамыған шығар деп үміттендім. Фильм әлсіз актерлік шеберлікпен басталды, мен «мүмкін, жақсарар» деп ойладым. Өкінішке орай, ол жақсармады. Фильм екі егде адамды – мормон миссионерлерін таныстырып басталады, көрермен оларды танып, қамқорлық танытар деп ойлайсың. Бірақ оқиға миссионерлердің ашықтай бағынбаушылығын көрсететін, мүлдем мүмкін емес сәтсіз оқиғаларға айналып, күлкілі болып кетеді (бұл шын мәнінде бар нәрсе, бірақ Dutcher көрсеткен деңгейде емес). Dutcher-дің осы фильмдегі жалғыз жетістігі – мақсатты аудиториясын өзінен алыстыра алуы. Мормон миссионерлерінің өмірін шындыққа сай емес және дәл емес түрде көрсетіп, Dutcher негізінен мормон көрермендерін ашуландырады. Фильм шындықты ешқашан көрсетпейді. Миссиялар Dutcher көрсеткендей емес (өзім мормон миссиясында болғандықтан, бұл фактіні растай аламын), ал Калифорниядағы банда өмірі әлдеқайда ашық тілмен сипатталады, кейде жеңіл дөрекілікпен ғана емес. Қорытынды, көрерменді қозғап, кешірімнің бар екеніне сендіруі керек еді деп ойлаймын, бірақ ол сенімсіз (барлық миссия жиналып, осы егде адамды үйге жіберуді көреді – ал анасы мен қыз бір-бірінің қасында тұр!) және арзан көрінді. Келесі жолы, Dutcher, біреуге таныс болатын фильм жасауды байқап көр.",negative
"This movie struck home for me. Being 29, I remember the '80's and my father working in a factory. I figured, if I worked hard too, if I had pride and never gave up I too could have the American Dream, the house, a few kids, a car all to call my own. I've noted however, without a degree in something (unlike my father that quit at ninth grade) and a keen sense of greed and laziness, you can't get anywhere.<br /><br />I would like to know if anyone has this movie on DVD or VHS. it's made for TV, and I just saw it an hour ago. Ic an't find it anywhere! I'd love to show this to my friends, my pseudo friends, family and other relatives, see what they think and remind them that once upon a time, Americans WOULD work for the sake of feeling honor and that we had pride in what we accomplished!! I think the feeling is still there, but in a heavy downward spiral with so many things being made overseas...",positive,"Бұл фильм менің жүрегіме жетті. 29 жаста болсам да, 80-ші жылдарды және әкемнің зауытта жұмыс істегенін есіме аламын. Мен де көп еңбектенсем, мақтаныш сезімін сақтап, ешқашан берілмесем, мен де Американдық армандағыдай үйге, бірнеше балаға, өзіме тиесілі көлікке ие бола аламын деп ойлайтынмын. Дегенмен, менің әкем сияқты тоғызыншы сыныпта оқуды тастаған жоқпын, бірақ қандай да бір мамандық бойынша дипломым болмаса және ашкөздік пен жалқаулық болмаса, ешқайда жете алмайсың деп түсіндім. Мен бұл фильмнің DVD немесе VHS нұсқасы бар ма екен деп білгім келеді. Бұл теледидарға арналған фильм, мен оны бір сағат бұрын ғана көрдім. Қайда да іздесем таба алмай жатырмын! Мен бұл фильмді достарыма, жалған достарыма, отбасым мен туыстарыма көрсеткім келеді, олардың пікірін білгім келеді және бір кездері американдықтар құрмет сезімі үшін жұмыс істейтінін, өз жетістіктерімізге мақтанышпен қарайтынымызды еске салғым келеді!! Менің ойымша, бұл сезім әлі де бар, бірақ көптеген заттар шетелде жасалып жатқандықтан, ол төмен қарай құлдырап бара жатыр...",positive
"As a disclaimer, I've seen the movie 5-6 times in the last 15 years, and I only just saw the musical this week. This allowed me to judge the movie without being tainted by what was or wasn't in the musical (however, it tainted me when I watched the musical :) ) <br /><br />I actually believe Michael Douglas worked quite well in that role, along with Kasey. I think her 'Let me dance for you scene' is one of the best parts of the movie, a worthwhile addition compared to the musical. The dancers and singing in the movie are much superior to the musical, as well as the cast which is at least 10 times bigger (easier to do in the movie of course). The decors, lighting, dancing, and singing are also much superior in the movie, which should be expected, and was indeed delivered. <br /><br />The songs that were in common with the musical are better done in the movie, the new ones are quite good ones, and the whole movie just delivers more than the musical in my opinion, especially compared to a musical which has few decors. The one bad point on the movie is the obvious cuts between the actors talking, and dubbed singers during the singing portions for some of the characters, but their dancing is impeccable, and the end product was more enjoyable than the musical",positive,"Ескерту ретінде айтайын, мен бұл фильмді соңғы 15 жылда 5-6 рет көрдім, ал осы аптада ғана мюзиклді көрдім. Бұл маған фильмді мюзиклдегі нәрселерге әсерленбей бағалауға мүмкіндік берді (дегенмен, мюзиклді көргенде мені әсерледі :) ). Менің ойымша, Майкл Дуглас сол рөлде өте жақсы ойнады, Кэйсидің де рөлімен бірге. Оның «Сен үшін билейін» деген сахнасы фильмдегі ең үздік сәттердің бірі деп есептеймін, мюзиклмен салыстырғанда құнды қосымша болды. Фильмдегі бишілер мен әншілер мюзиклге қарағанда әлдеқайда жоғары деңгейде, сондай-ақ актерлер құрамы кем дегенде 10 есе үлкен (фильмде бұл әлдеқайда оңай жасалады). Декорациялар, жарықтандыру, билер мен әндер де фильмде әлдеқайда жоғары деңгейде, бұл күтілген және шын мәнінде жеткізілді. Мюзиклмен ортақ әндер фильмде жақсы орындалған, жаңа әндер де өте жақсы, және менің ойымша, фильм мюзиклге қарағанда әлдеқайда көп нәрсе ұсынады, әсіресе декорациялары аз мюзиклмен салыстырғанда. Фильмдегі жалғыз кемшілік – кей кейіпкерлердің сөйлеген жерлеріндегі айқын кескіндер мен ән айтатын бөліктерде дыбыстардың ауыстырылуы, бірақ олардың билері мінсіз, және соңғы нәтиже мюзиклге қарағанда әлдеқайда ләззат берді.",positive
Protocol is an implausible movie whose only saving grace is that it stars Goldie Hawn along with a good cast of supporting actors. The story revolves around a ditzy cocktail waitress who becomes famous after inadvertently saving the life of an Arab dignitary. The story goes downhill halfway through the movie and Goldie's charm just doesn't save this movie. Unless you are a Goldie Hawn fan don't go out of your way to see this film.,negative,"«Протокол» — сенгісіз фильм, оның жалғыз құтқарушысы — Голди Хоунның басты рөлде ойнауы және жақсы қосалқы актерлер құрамының болуы. Оқиға ақылсыз коктейль келіншегі туралы, ол кездейсоқ араб лауазымды тұлғаның өмірін сақтап, танымал болады. Фильмнің ортасынан бастап сюжет нашарлайды, ал Голдидің тартымдылығы бұл фильмді құтқара алмайды. Егер сіз Голди Хоунның жанкүйері болмасаңыз, бұл фильмді көруге асықпаңыз.",negative
"How this film could be classified as Drama, I have no idea. If I were John Voight and Mary Steenburgen, I would be trying to erase this from my CV. It was as historically accurate as Xena and Hercules. Abraham and Moses got melded into Noah. Lot, Abraham's nephew, Lot, turns up thousands of years before he would have been born. Canaanites wandered the earth...really? What were the scriptwriters thinking? Was it just ignorance (""I remember something about Noah and animals, and Lot and Canaanites and all that stuff from Sunday School"") or were they trying to offend the maximum number of people on the planet as possible- from Christians, Jews and Muslims, to historians, archaeologists, geologists, psychologists, linguists ...as a matter of fact, did anyone not get offended? Anyone who had even a modicum of taste would have winced at this one!",negative,"Бұл фильмді қалайша драма деп атауға болатынын түсінбеймін. Егер мен Джон Войт пен Мэри Стинберген болсам, мұны өз түйіндемемнен өшіріп тастауға тырысар едім. Фильм тарихи тұрғыдан Хена мен Геркулестің деңгейінде дәл болды. Абрахам мен Мұса Ноаға біріктірілген. Абрахамның інісі Лот мыңдаған жыл бұрын туылуы керек болғанымен, ол ерте пайда болады. Канаандықтар жер бетінде қыдырып жүрді... шынымен бе? Сценаристер не ойлады? Бұл жай ғана білместік пе («Мен жексенбілік мектептен Ноа мен жануарлар, Лот пен канаандықтар туралы бірдеңе есімде»), әлде олар христиандардан, еврейлерден, мұсылмандардан бастап тарихшыларға, археологтарға, геологтарға, психологтарға, лингвистерге дейін барша адамды ренжітуге тырысты ма? Шынымен де, ешкім ренжімеді ме? Аздап талғамы бар адам мұны көріп қиналар еді!",negative
