id,title,context,question,answers,gold_answer,pred_en_basic
571cd5b1dd7acb1400e4c179,Oxygen,"Uptake of O
2 from the air is the essential purpose of respiration, so oxygen supplementation is used in medicine. Treatment not only increases oxygen levels in the patient's blood, but has the secondary effect of decreasing resistance to blood flow in many types of diseased lungs, easing work load on the heart. Oxygen therapy is used to treat emphysema, pneumonia, some heart disorders (congestive heart failure), some disorders that cause increased pulmonary artery pressure, and any disease that impairs the body's ability to take up and use gaseous oxygen.",What medical treatment is used to increase oxygen uptake in a patient?,"{'text': ['oxygen supplementation', 'oxygen supplementation', 'oxygen supplementation', 'Oxygen therapy', 'Oxygen therapy'], 'answer_start': [71, 71, 71, 314, 314]}",oxygen supplementation,Oxygen supplementation
570d2556fed7b91900d45c49,Victoria_(Australia),"Immigrants arrived from all over the world to search for gold, especially from Ireland and China. Many Chinese miners worked in Victoria, and their legacy is particularly strong in Bendigo and its environs. Although there was some racism directed at them, there was not the level of anti-Chinese violence that was seen at the Lambing Flat riots in New South Wales. However, there was a riot at Buckland Valley near Bright in 1857. Conditions on the gold fields were cramped and unsanitary; an outbreak of typhoid at Buckland Valley in 1854 killed over 1,000 miners.",Where was the 1857 riot?,"{'text': ['Buckland Valley', 'Buckland Valley near Bright', 'Buckland Valley'], 'answer_start': [394, 394, 394]}",Buckland Valley,Buckland Valley
56d9a0eadc89441400fdb63e,Super_Bowl_50,"Peyton Manning became the first quarterback ever to lead two different teams to multiple Super Bowls. He is also the oldest quarterback ever to play in a Super Bowl at age 39. The past record was held by John Elway, who led the Broncos to victory in Super Bowl XXXIII at age 38 and is currently Denver's Executive Vice President of Football Operations and General Manager.",Who was the first quarterback to take two teams to more than one Super Bowl?,"{'text': ['Peyton Manning', 'Peyton Manning', 'Manning', 'Manning'], 'answer_start': [0, 0, 7, 7]}",Peyton Manning,Peyton Manning
572881704b864d1900164a52,Yuan_dynasty,"The Chinese medical tradition of the Yuan had ""Four Great Schools"" that the Yuan inherited from the Jin dynasty. All four schools were based on the same intellectual foundation, but advocated different theoretical approaches toward medicine. Under the Mongols, the practice of Chinese medicine spread to other parts of the empire. Chinese physicians were brought along military campaigns by the Mongols as they expanded towards the west. Chinese medical techniques such as acupuncture, moxibustion, pulse diagnosis, and various herbal drugs and elixirs were transmitted westward to the Middle East and the rest of the empire. Several medical advances were made in the Yuan period. The physician Wei Yilin (1277–1347) invented a suspension method for reducing dislocated joints, which he performed using anesthetics. The Mongol physician Hu Sihui described the importance of a healthy diet in a 1330 medical treatise.",How did Chinese medicine spread?,"{'text': ['Chinese physicians were brought along military campaigns by the Mongols', 'to other parts of the empire', 'Under the Mongols'], 'answer_start': [331, 301, 242]}",Chinese physicians were brought along military campaigns by the Mongols,brought along military campaigns
56e1ec83cd28a01900c67c0a,Computational_complexity_theory,"The integer factorization problem is the computational problem of determining the prime factorization of a given integer. Phrased as a decision problem, it is the problem of deciding whether the input has a factor less than k. No efficient integer factorization algorithm is known, and this fact forms the basis of several modern cryptographic systems, such as the RSA algorithm. The integer factorization problem is in NP and in co-NP (and even in UP and co-UP). If the problem is NP-complete, the polynomial time hierarchy will collapse to its first level (i.e., NP will equal co-NP). The best known algorithm for integer factorization is the general number field sieve, which takes time O(e(64/9)1/3(n.log 2)1/3(log (n.log 2))2/3) to factor an n-bit integer. However, the best known quantum algorithm for this problem, Shor's algorithm, does run in polynomial time. Unfortunately, this fact doesn't say much about where the problem lies with respect to non-quantum complexity classes.",What computational problem is commonly associated with prime factorization?,"{'text': ['The integer factorization problem', 'integer factorization', 'integer factorization problem'], 'answer_start': [0, 4, 4]}",The integer factorization problem,Integer factorization problem
57266e72f1498d1400e8df8d,Geology,"For many geologic applications, isotope ratios of radioactive elements are measured in minerals that give the amount of time that has passed since a rock passed through its particular closure temperature, the point at which different radiometric isotopes stop diffusing into and out of the crystal lattice. These are used in geochronologic and thermochronologic studies. Common methods include uranium-lead dating, potassium-argon dating, argon-argon dating and uranium-thorium dating. These methods are used for a variety of applications. Dating of lava and volcanic ash layers found within a stratigraphic sequence can provide absolute age data for sedimentary rock units which do not contain radioactive isotopes and calibrate relative dating techniques. These methods can also be used to determine ages of pluton emplacement. Thermochemical techniques can be used to determine temperature profiles within the crust, the uplift of mountain ranges, and paleotopography.",The point at which different radiometric isotopes stop diffusing into and out of the crystal lattice is called what?,"{'text': ['particular closure temperature', 'closure temperature', 'closure temperature'], 'answer_start': [173, 184, 184]}",particular closure temperature,closure temperature
5726415bec44d21400f3dcd3,Ctenophora,"Most species are hermaphrodites—a single animal can produce both eggs and sperm, meaning it can fertilize its own egg, not needing a mate. Some are simultaneous hermaphrodites, which can produce both eggs and sperm at the same time. Others are sequential hermaphrodites, in which the eggs and sperm mature at different times. Fertilization is generally external, although platyctenids' eggs are fertilized inside their parents' bodies and kept there until they hatch. The young are generally planktonic and in most species look like miniature cydippids, gradually changing into their adult shapes as they grow. The exceptions are the beroids, whose young are miniature beroids with large mouths and no tentacles, and the platyctenids, whose young live as cydippid-like plankton until they reach near-adult size, but then sink to the bottom and rapidly metamorphose into the adult form. In at least some species, juveniles are capable of reproduction before reaching the adult size and shape. The combination of hermaphroditism and early reproduction enables small populations to grow at an explosive rate.",What is a trait of sequential hermaphrodites?,"{'text': ['the eggs and sperm mature at different times', 'eggs and sperm mature at different times', 'eggs and sperm mature at different times'], 'answer_start': [280, 284, 284]}",the eggs and sperm mature at different times,Eggs and sperm mature at different times.
57285841ff5b5019007da19d,University_of_Chicago,"The university operates 12 research institutes and 113 research centers on campus. Among these are the Oriental Institute—a museum and research center for Near Eastern studies owned and operated by the university—and a number of National Resource Centers, including the Center for Middle Eastern Studies. Chicago also operates or is affiliated with a number of research institutions apart from the university proper. The university partially manages Argonne National Laboratory, part of the United States Department of Energy's national laboratory system, and has a joint stake in Fermilab, a nearby particle physics laboratory, as well as a stake in the Apache Point Observatory in Sunspot, New Mexico. Faculty and students at the adjacent Toyota Technological Institute at Chicago collaborate with the university, In 2013, the university announced that it was affiliating the formerly independent Marine Biological Laboratory in Woods Hole, Mass. Although formally unrelated, the National Opinion Research Center is located on Chicago's campus.",What lab does the university have a joint stake in? ,"{'text': ['Fermilab', 'Fermilab', 'Fermilab'], 'answer_start': [581, 581, 581]}",Fermilab,Fermilab
57379ed81c456719005744d5,Force,"Tension forces can be modeled using ideal strings that are massless, frictionless, unbreakable, and unstretchable. They can be combined with ideal pulleys, which allow ideal strings to switch physical direction. Ideal strings transmit tension forces instantaneously in action-reaction pairs so that if two objects are connected by an ideal string, any force directed along the string by the first object is accompanied by a force directed along the string in the opposite direction by the second object. By connecting the same string multiple times to the same object through the use of a set-up that uses movable pulleys, the tension force on a load can be multiplied. For every string that acts on a load, another factor of the tension force in the string acts on the load. However, even though such machines allow for an increase in force, there is a corresponding increase in the length of string that must be displaced in order to move the load. These tandem effects result ultimately in the conservation of mechanical energy since the work done on the load is the same no matter how complicated the machine.",What can be used to model tension forces?,"{'text': ['ideal strings', 'ideal strings that are massless', 'ideal strings that are massless', 'ideal strings that are massless, frictionless, unbreakable, and unstretchable'], 'answer_start': [36, 36, 36, 36]}",ideal strings,Ideal strings
5728d9403acd2414000e001e,Civil_disobedience,"Civil disobedience is usually defined as pertaining to a citizen's relation to the state and its laws, as distinguished from a constitutional impasse in which two public agencies, especially two equally sovereign branches of government, conflict. For instance, if the head of government of a country were to refuse to enforce a decision of that country's highest court, it would not be civil disobedience, since the head of government would be acting in her or his capacity as public official rather than private citizen.",Civil Disobedience is mainly performed by what population group?,"{'text': ['private citizen', 'private citizen', 'private citizen', 'private'], 'answer_start': [505, 505, 505, 505]}",private citizen,citizen
572812142ca10214002d9d2a,Doctor_Who,"With the show's 2005 revival, executive producer Russell T Davies stated his intention to reintroduce classic icons of Doctor Who one step at a time: the Autons with the Nestene Consciousness and Daleks in series 1, Cybermen in series 2, the Macra and the Master in series 3, the Sontarans and Davros in series 4, and the Time Lords (Rassilon) in the 2009–10 Specials. Davies' successor, Steven Moffat, has continued the trend by reviving the Silurians in series 5, Cybermats in series 6, the Great Intelligence and the Ice Warriors in Series 7, and Zygons in the 50th Anniversary Special. Since its 2005 return, the series has also introduced new recurring aliens: Slitheen (Raxacoricofallapatorian), Ood, Judoon, Weeping Angels and the Silence.",Who was the executive producer of the 2005 Doctor Who revival series?,"{'text': ['Russell T Davies', 'Russell T Davies', 'Russell T Davies'], 'answer_start': [49, 49, 49]}",Russell T Davies,Russell T Davies
572fcd86947a6a140053ccdc,Scottish_Parliament,Bills can be introduced to Parliament in a number of ways; the Scottish Government can introduce new laws or amendments to existing laws as a bill; a committee of the Parliament can present a bill in one of the areas under its remit; a member of the Scottish Parliament can introduce a bill as a private member; or a private bill can be submitted to Parliament by an outside proposer. Most draft laws are government bills introduced by ministers in the governing party. Bills pass through Parliament in a number of stages:,An MSP may introduce a bill as what?,"{'text': ['a private member', 'a private member', 'private member'], 'answer_start': [294, 294, 296]}",a private member,private member
5727cd0f4b864d1900163d72,Harvard_University,"Harvard has purchased tracts of land in Allston, a walk across the Charles River from Cambridge, with the intent of major expansion southward. The university now owns approximately fifty percent more land in Allston than in Cambridge. Proposals to connect the Cambridge campus with the new Allston campus include new and enlarged bridges, a shuttle service and/or a tram. Plans also call for sinking part of Storrow Drive (at Harvard's expense) for replacement with park land and pedestrian access to the Charles River, as well as the construction of bike paths, and buildings throughout the Allston campus. The institution asserts that such expansion will benefit not only the school, but surrounding community, pointing to such features as the enhanced transit infrastructure, possible shuttles open to the public, and park space which will also be publicly accessible.",How much more land does the school own in Allston than Cambridge?,"{'text': ['approximately fifty percent', 'fifty percent', 'fifty percent more'], 'answer_start': [167, 181, 181]}",approximately fifty percent,approximately fifty percent more
572ffbaa947a6a140053ceea,Islamism,"During the 1970s and sometimes later, Western and pro-Western governments often supported sometimes fledgling Islamists and Islamist groups that later came to be seen as dangerous enemies. Islamists were considered by Western governments bulwarks against—what were thought to be at the time—more dangerous leftist/communist/nationalist insurgents/opposition, which Islamists were correctly seen as opposing. The US spent billions of dollars to aid the mujahideen Muslim Afghanistan enemies of the Soviet Union, and non-Afghan veterans of the war returned home with their prestige, ""experience, ideology, and weapons"", and had considerable impact.",What did the non-Afghan veterans returning home have in addition to their prestige?,"{'text': ['considerable impact', 'experience, ideology, and weapons', 'experience, ideology, and weapons'], 'answer_start': [626, 582, 582]}",considerable impact,"""experience, ideology, and weapons"""
572a0bebaf94a219006aa76f,Amazon_rainforest,"In 2010 the Amazon rainforest experienced another severe drought, in some ways more extreme than the 2005 drought. The affected region was approximate 1,160,000 square miles (3,000,000 km2) of rainforest, compared to 734,000 square miles (1,900,000 km2) in 2005. The 2010 drought had three epicenters where vegetation died off, whereas in 2005 the drought was focused on the southwestern part. The findings were published in the journal Science. In a typical year the Amazon absorbs 1.5 gigatons of carbon dioxide; during 2005 instead 5 gigatons were released and in 2010 8 gigatons were released.",In what year did the Amazon experience a drought that may have been more extreme than in 2005?,"{'text': ['2010', '2010', '2010'], 'answer_start': [3, 3, 3]}",2010,2010
5725e6f6ec44d21400f3d72d,Apollo_program,"The success of the first two landings allowed the remaining missions to be crewed with a single veteran as Commander, with two rookies. Apollo 13 launched Lovell, Jack Swigert, and Fred Haise in April 1970, headed for the Fra Mauro formation. But two days out, a liquid oxygen tank exploded, disabling the Service Module and forcing the crew to use the LM as a ""life boat"" to return to Earth. Another NASA review board was convened to determine the cause, which turned out to be a combination of damage of the tank in the factory, and a subcontractor not making a tank component according to updated design specifications. Apollo was grounded again, for the remainder of 1970 while the oxygen tank was redesigned and an extra one was added.",What month and year was Apollo 13 launched?,"{'text': ['April 1970', 'April', 'April 1970', 'April 1970', 'April 1970,'], 'answer_start': [195, 195, 195, 195, 195]}",April 1970,April 1970
5733266d4776f41900660715,Warsaw,"In 1529, Warsaw for the first time became the seat of the General Sejm, permanent from 1569. In 1573 the city gave its name to the Warsaw Confederation, formally establishing religious freedom in the Polish–Lithuanian Commonwealth. Due to its central location between the Commonwealth's capitals of Kraków and Vilnius, Warsaw became the capital of the Commonwealth and the Crown of the Kingdom of Poland when King Sigismund III Vasa moved his court from Kraków to Warsaw in 1596. In the following years the town expanded towards the suburbs. Several private independent districts were established, the property of aristocrats and the gentry, which were ruled by their own laws. Three times between 1655–1658 the city was under siege and three times it was taken and pillaged by the Swedish, Brandenburgian and Transylvanian forces.",Why did Warsaw become the capital of the Commonwealth?,"{'text': ['Due to its central location', 'its central location', 'central location'], 'answer_start': [232, 239, 243]}",Due to its central location,central location
57300ec0947a6a140053d008,Islamism,"In 1979, the Soviet Union deployed its 40th Army into Afghanistan, attempting to suppress an Islamic rebellion against an allied Marxist regime in the Afghan Civil War. The conflict, pitting indigenous impoverished Muslims (mujahideen) against an anti-religious superpower, galvanized thousands of Muslims around the world to send aid and sometimes to go themselves to fight for their faith. Leading this pan-Islamic effort was Palestinian sheikh Abdullah Yusuf Azzam. While the military effectiveness of these ""Afghan Arabs"" was marginal, an estimated 16,000 to 35,000 Muslim volunteers came from around the world came to fight in Afghanistan.",How many Muslims came from around the world to fight in Afghanistan?,"{'text': ['16,000 to 35,000', '16,000 to 35,000', '16,000 to 35,000'], 'answer_start': [553, 553, 553]}","16,000 to 35,000","16,000 to 35,000"
5733fe73d058e614000b673e,French_and_Indian_War,"Loudoun, a capable administrator but a cautious field commander, planned one major operation for 1757: an attack on New France's capital, Quebec. Leaving a sizable force at Fort William Henry to distract Montcalm, he began organizing for the expedition to Quebec. He was then ordered by William Pitt, the Secretary of State responsible for the colonies, to attack Louisbourg first. Beset by delays of all kinds, the expedition was finally ready to sail from Halifax, Nova Scotia in early August. In the meantime French ships had escaped the British blockade of the French coast, and a fleet outnumbering the British one awaited Loudoun at Louisbourg. Faced with this strength, Loudoun returned to New York amid news that a massacre had occurred at Fort William Henry.",What was the purpose of Loudoun's troops at Fort Henry?,"{'text': ['to distract Montcalm', 'distract Montcalm', 'distract Montcalm', 'distract Montcalm', 'to distract Montcalm'], 'answer_start': [192, 195, 195, 195, 192]}",to distract Montcalm,to distract Montcalm
56beaa4a3aeaaa14008c91c2,Super_Bowl_50,"The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Championship Game and advanced to their second Super Bowl appearance since the franchise was founded in 1995. The Broncos finished the regular season with a 12–4 record, and denied the New England Patriots a chance to defend their title from Super Bowl XLIX by defeating them 20–18 in the AFC Championship Game. They joined the Patriots, Dallas Cowboys, and Pittsburgh Steelers as one of four teams that have made eight appearances in the Super Bowl.",What team did the Panthers defeat?,"{'text': ['Arizona Cardinals', 'the Arizona Cardinals', 'Arizona Cardinals'], 'answer_start': [152, 148, 152]}",Arizona Cardinals,Arizona Cardinals
5733fb7bd058e614000b66ff,French_and_Indian_War,"Newcastle replaced him in January 1756 with Lord Loudoun, with Major General James Abercrombie as his second in command. Neither of these men had as much campaign experience as the trio of officers France sent to North America. French regular army reinforcements arrived in New France in May 1756, led by Major General Louis-Joseph de Montcalm and seconded by the Chevalier de Lévis and Colonel François-Charles de Bourlamaque, all experienced veterans from the War of the Austrian Succession. During that time in Europe, on May 18, 1756, England formally declared war on France, which expanded the war into Europe, which was later to be known as the Seven Years' War.",Who was appointed as second in command to Lor Loudoun in 1756?,"{'text': ['Major General James Abercrombie', 'Lord Loudoun', 'Major General James Abercrombie', 'Major General James Abercrombie', 'Major General James Abercrombie'], 'answer_start': [63, 44, 63, 63, 63]}",Major General James Abercrombie,Major General James Abercrombie
56e0c0c7231d4119001ac378,Nikola_Tesla,"Tesla was the fourth of five children. He had an older brother named Dane and three sisters, Milka, Angelina and Marica. Dane was killed in a horse-riding accident when Nikola was five. In 1861, Tesla attended the ""Lower"" or ""Primary"" School in Smiljan where he studied German, arithmetic, and religion. In 1862, the Tesla family moved to Gospić, Austrian Empire, where Tesla's father worked as a pastor. Nikola completed ""Lower"" or ""Primary"" School, followed by the ""Lower Real Gymnasium"" or ""Normal School.""",Where did the family move in 1862?,"{'text': ['Gospić, Austrian Empire', 'Gospić', 'Gospić'], 'answer_start': [339, 339, 339]}","Gospić, Austrian Empire","Gospić, Austrian Empire"
5728fd9b3f37b31900477f3b,Kenya,"The Swahili built Mombasa into a major port city and established trade links with other nearby city-states, as well as commercial centres in Persia, Arabia, and even India. By the 15th-century, Portuguese voyager Duarte Barbosa claimed that ""Mombasa is a place of great traffic and has a good harbour in which there are always moored small craft of many kinds and also great ships, both of which are bound from Sofala and others which come from Cambay and Melinde and others which sail to the island of Zanzibar.""",Who build the major port city in Kenya?,"{'text': ['The Swahili', 'Swahili', 'Swahili'], 'answer_start': [0, 4, 4]}",The Swahili,The Swahili
5728fc9e1d04691400778f14,Civil_disobedience,"Courts have distinguished between two types of civil disobedience: ""Indirect civil disobedience involves violating a law which is not, itself, the object of protest, whereas direct civil disobedience involves protesting the existence of a particular law by breaking that law."" During the Vietnam War, courts typically refused to excuse the perpetrators of illegal protests from punishment on the basis of their challenging the legality of the Vietnam War; the courts ruled it was a political question. The necessity defense has sometimes been used as a shadow defense by civil disobedients to deny guilt without denouncing their politically motivated acts, and to present their political beliefs in the courtroom. However, court cases such as U.S. v. Schoon have greatly curtailed the availability of the political necessity defense. Likewise, when Carter Wentworth was charged for his role in the Clamshell Alliance's 1977 illegal occupation of the Seabrook Station Nuclear Power Plant, the judge instructed the jury to disregard his competing harms defense, and he was found guilty. Fully Informed Jury Association activists have sometimes handed out educational leaflets inside courthouses despite admonitions not to; according to FIJA, many of them have escaped prosecution because ""prosecutors have reasoned (correctly) that if they arrest fully informed jury leafleters, the leaflets will have to be given to the leafleter's own jury as evidence.""",What type of defense is sometimes used in court by protestors?,"{'text': ['competing harms defense', 'necessity defense', 'necessity defense', 'necessity'], 'answer_start': [1035, 506, 506, 506]}",competing harms defense,necessity defense
573312fcd058e614000b56e7,Warsaw,"In 2012 the Economist Intelligence Unit ranked Warsaw as the 32nd most liveable city in the world. It was also ranked as one of the most liveable cities in Central Europe. Today Warsaw is considered an ""Alpha–"" global city, a major international tourist destination and a significant cultural, political and economic hub. Warsaw's economy, by a wide variety of industries, is characterised by FMCG manufacturing, metal processing, steel and electronic manufacturing and food processing. The city is a significant centre of research and development, BPO, ITO, as well as of the Polish media industry. The Warsaw Stock Exchange is one of the largest and most important in Central and Eastern Europe. Frontex, the European Union agency for external border security, has its headquarters in Warsaw. It has been said that Warsaw, together with Frankfurt, London, Paris and Barcelona is one of the cities with the highest number of skyscrapers in the European Union. Warsaw has also been called ""Eastern Europe’s chic cultural capital with thriving art and club scenes and serious restaurants"".",When was Warsaw ranked as the 32nd most liveable city in the world?,"{'text': ['2012', '2012', '2012'], 'answer_start': [3, 3, 3]}",2012,2012
5725e6f6ec44d21400f3d72c,Apollo_program,"The success of the first two landings allowed the remaining missions to be crewed with a single veteran as Commander, with two rookies. Apollo 13 launched Lovell, Jack Swigert, and Fred Haise in April 1970, headed for the Fra Mauro formation. But two days out, a liquid oxygen tank exploded, disabling the Service Module and forcing the crew to use the LM as a ""life boat"" to return to Earth. Another NASA review board was convened to determine the cause, which turned out to be a combination of damage of the tank in the factory, and a subcontractor not making a tank component according to updated design specifications. Apollo was grounded again, for the remainder of 1970 while the oxygen tank was redesigned and an extra one was added.",What was redesigned during the Apollo program being grounded during 1970?,"{'text': ['oxygen tank', 'oxygen tank', 'oxygen tank', 'oxygen tank', 'oxygen tank'], 'answer_start': [686, 686, 686, 686, 686]}",oxygen tank,oxygen tank
